Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 15593311 "," 10358479 "," 10178029 "
2.01," Passivo Circulante "," 3001518 "," 1980614 "," 2433346 "
2.01.01," Obrigações Sociais e Trabalhistas "," 71713 "," 66211 "," 60280 "
2.01.01.01," Obrigações Sociais "," 71713 "," 66211 "," 60280 "
2.01.01.01.01," Obrigações Sociais e Trabalhistas "," 71713 "," 66211 "," 60280 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 174084 "," 116093 "," 82303 "
2.01.02.01," Fornecedores Nacionais "," 174084 "," 116093 "," 82303 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 61448 "," 65989 "," 52102 "
2.01.03.01," Obrigações Fiscais Federais "," 61448 "," 65989 "," 52102 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 18051 "," 24968 "," 13381 "
2.01.03.01.02," Impostos, taxas e contribuições a recolher "," 43397 "," 41021 "," 38721 "
2.01.03.01.03," Programa de Recuperação Fiscal - REFIS "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 1946764 "," 1177696 "," 1671627 "
2.01.04.01," Empréstimos e Financiamentos "," 95460 "," 350453 "," 95980 "
2.01.04.01.01," Em Moeda Nacional "," 95460 "," 350453 "," 95980 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 1837935 "," 806813 "," 1572001 "
2.01.04.03," Financiamento por Arrendamento "," 13369 "," 20430 "," 3646 "
2.01.04.03.01," Arrendamento a pagar "," 13369 "," 20430 "," 3646 "
2.01.05," Outras Obrigações "," 615009 "," 290865 "," 383211 "
2.01.05.01," Passivos com Partes Relacionadas "," 36298 "," 10182 "," 32253 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," 218 "," 293 "," 1025 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 36080 "," 9889 "," 31228 "
2.01.05.02," Outros "," 578711 "," 280683 "," 350958 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 310855 "," 0 "," 137778 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Obrigações com Poder Concedente "," 100831 "," 92890 "," 17334 "
2.01.05.02.05," Outras Contas a Pagar "," 82265 "," 83222 "," 8861 "
2.01.05.02.06," Adiantamentos de clientes "," "," "," "
2.01.05.02.07," Outras contas a pagar - Aquisição de empresas "," 9949 "," 10601 "," 10445 "
2.01.05.02.08," Acordo de leniência "," 74811 "," 93970 "," 176540 "
2.01.06," Provisões "," 132500 "," 263760 "," 183823 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisão para imposto de renda e contribuição social "," "," "," "
2.01.06.02," Outras Provisões "," 132500 "," 263760 "," 183823 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para manutenção "," 95143 "," 262142 "," 147328 "
2.01.06.02.05," Provisão para construção de obras futuras "," 37357 "," 1618 "," 36495 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 9808481 "," 7228908 "," 6771093 "
2.02.01," Empréstimos e Financiamentos "," 6776992 "," 5784398 "," 5232722 "
2.02.01.01," Empréstimos e Financiamentos "," 1530145 "," 1431528 "," 1285185 "
2.02.01.01.01," Em Moeda Nacional "," 1530145 "," 1431528 "," 1285185 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 5238418 "," 4340123 "," 3945140 "
2.02.01.03," Financiamento por Arrendamento "," 8429 "," 12747 "," 2397 "
2.02.01.03.01," Arrendamento a pagar "," 8429 "," 12747 "," 2397 "
2.02.02," Outras Obrigações "," 2632600 "," 1081609 "," 1145660 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 2632600 "," 1081609 "," 1145660 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Obrigações com Poder Concedente "," 2503885 "," 910275 "," 890759 "
2.02.02.02.04," Outras contas a pagar "," 104280 "," 77970 "," 59490 "
2.02.02.02.05," Outras contas a pagar - Aquisição empresas "," 21084 "," 26218 "," 32296 "
2.02.02.02.06," Acordo de leniência "," 3351 "," 67146 "," 163115 "
2.02.03," Tributos Diferidos "," 6489 "," 1551 "," 12559 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 6489 "," 1551 "," 12559 "
2.02.04," Provisões "," 392400 "," 361350 "," 380152 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Provisões para perdas cíveis, trabalhistas e tributárias "," "," "," "
2.02.04.01.06," Provisões para Manutenção "," "," "," "
2.02.04.01.07," Provisões para construção de obras futuras "," "," "," "
2.02.04.02," Outras Provisões "," 392400 "," 361350 "," 380152 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisões para perdas ambientais, cíveis, trabalhistas e tributárias "," 173472 "," 129441 "," 100374 "
2.02.04.02.05," Provisões para manutenção "," 206728 "," 193812 "," 279011 "
2.02.04.02.06," Provisões para construção de obras "," 12200 "," 38097 "," 767 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 2783312 "," 1148957 "," 973590 "
2.03.01," Capital Social Realizado "," 2086715 "," 736715 "," 736715 "
2.03.02," Reservas de Capital "," 14333 "," 14333 "," 14333 "
