Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 3523151 "," 3293088 "," 2841801 "
2.01," Passivo Circulante "," 763896 "," 799126 "," 581751 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 311058 "," 280549 "," 160728 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 114371 "," 87209 "," 89640 "
2.01.03.01," Obrigações Fiscais Federais "," 114371 "," 87209 "," 89640 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Parcelamentos de impostos "," "," "," "
2.01.03.01.03," Impostos e contribuições sociais "," 114371 "," 87209 "," 89640 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 107848 "," 242877 "," 187004 "
2.01.04.01," Empréstimos e Financiamentos "," 14963 "," 156327 "," 131677 "
2.01.04.01.01," Em Moeda Nacional "," 14963 "," 156327 "," 28682 "
2.01.04.01.02," Em Moeda Estrangeira "," 0 "," 0 "," 102995 "
2.01.04.02," Debêntures "," 92885 "," 86550 "," 55327 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 230619 "," 188491 "," 144379 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 230619 "," 188491 "," 144379 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 0 "," 17978 "," 0 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Encargos setoriais "," 30704 "," 18152 "," 16794 "
2.01.05.02.05," Obrigações estimadas "," 13255 "," 10986 "," 10367 "
2.01.05.02.06," Instrumentos financeiros derivativos "," 16089 "," 0 "," 1178 "
2.01.05.02.07," Contribuição de iluminação pública "," 20466 "," 16369 "," 14459 "
2.01.05.02.08," Encargos de dívidas "," 4250 "," 7764 "," 736 "
2.01.05.02.09," Beneficios pós emprego "," 7550 "," 8276 "," 9621 "
2.01.05.02.10," Passivos financeiros setoriais "," 80122 "," 67866 "," 63727 "
2.01.05.02.11," Arrendamentos operacionais "," 1192 "," 1681 "," 1776 "
2.01.05.02.12," Outras contas a pagar "," 56991 "," 39419 "," 25721 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1667357 "," 1372014 "," 1329487 "
2.02.01," Empréstimos e Financiamentos "," 1025120 "," 674509 "," 693153 "
2.02.01.01," Empréstimos e Financiamentos "," 379862 "," 8649 "," 87924 "
2.02.01.01.01," Em Moeda Nacional "," 379862 "," 8649 "," 13276 "
2.02.01.01.02," Em Moeda Estrangeira "," 0 "," 0 "," 74648 "
2.02.01.02," Debêntures "," 645258 "," 665860 "," 605229 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 642237 "," 697505 "," 636334 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 642237 "," 697505 "," 636334 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Fornecedores "," 8963 "," 12446 "," 9862 "
2.02.02.02.04," Impostos e contribuições sociais "," 38254 "," 23800 "," 21064 "
2.02.02.02.05," Beneficios pós-emprego "," 3254 "," 120189 "," 132697 "
2.02.02.02.06," Instrumentos financeiros derivativos "," "," "," "
2.02.02.02.07," Provisões para Riscos, Trabalhistas, Civeis e Fiscais "," 25716 "," 26445 "," 26882 "
2.02.02.02.08," Passivos financeiros setoriais "," 75313 "," 36883 "," 35408 "
2.02.02.02.09," Encargos Setoriais "," 12228 "," 22557 "," 16756 "
2.02.02.02.10," Arrendamentos operacionais "," 1777 "," 3467 "," 2512 "
2.02.02.02.11," Efeitos da Redução do ICMS na base de calculo do Pis e Cofins "," 468699 "," 445334 "," 385843 "
2.02.02.02.12," Outras contas a pagar "," 8033 "," 6384 "," 5310 "
2.02.03," Tributos Diferidos "," "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," "," "," "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 1091898 "," 1121948 "," 930563 "
2.03.01," Capital Social Realizado "," 576055 "," 576055 "," 571866 "
2.03.02," Reservas de Capital "," 99825 "," 98565 "," 101705 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Outras reservas de capital "," 99825 "," 98565 "," 101705 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 430627 "," 486474 "," 301609 "
2.03.04.01," Reserva Legal "," 78739 "," 78739 "," 77482 "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," 270783 "," 188210 "," 115233 "
2.03.04.08," Dividendo Adicional Proposto "," 81105 "," 219525 "," 108894 "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," -14609 "," -39146 "," -44617 "
