Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1449952 "," 1475392 "," 1375895 "
2.01," Passivo Circulante "," 183294 "," 143669 "," 174232 "
2.01.01," Obrigações Sociais e Trabalhistas "," 25592 "," 19318 "," 27908 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 25592 "," 19318 "," 27908 "
2.01.02," Fornecedores "," 43177 "," 30286 "," 26670 "
2.01.02.01," Fornecedores Nacionais "," 43177 "," 30286 "," 26670 "
2.01.02.01.01," Contas a pagar a terceiros "," 43177 "," 30286 "," 26670 "
2.01.02.01.02," Contas a pagar a partes relacionadas "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 18217 "," 8712 "," 10831 "
2.01.03.01," Obrigações Fiscais Federais "," 17619 "," 7873 "," 10269 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 8981 "," 0 "," 0 "
2.01.03.01.02," Programa de Recuperação Fiscal (REFIS) "," 1483 "," 1456 "," 1434 "
2.01.03.01.03," Impostos Federais "," 7155 "," 6417 "," 8835 "
2.01.03.02," Obrigações Fiscais Estaduais "," 350 "," 724 "," 329 "
2.01.03.02.01," Impostos Estaduais "," 350 "," 724 "," 329 "
2.01.03.03," Obrigações Fiscais Municipais "," 248 "," 115 "," 233 "
2.01.03.03.01," Impostos municipais "," 248 "," 115 "," 233 "
2.01.04," Empréstimos e Financiamentos "," 68089 "," 77450 "," 99131 "
2.01.04.01," Empréstimos e Financiamentos "," 783 "," 4547 "," 6543 "
2.01.04.01.01," Em Moeda Nacional "," 783 "," 4547 "," 6543 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 51362 "," 57829 "," 77417 "
2.01.04.03," Financiamento por Arrendamento "," 15944 "," 15074 "," 15171 "
