Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 3423185 "," 3367654 "," 4020068 "
2.01," Passivo Circulante "," 1430192 "," 1463232 "," 1546891 "
2.01.01," Obrigações Sociais e Trabalhistas "," 77512 "," 69165 "," 105875 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 481151 "," 473930 "," 535298 "
2.01.02.01," Fornecedores Nacionais "," 481151 "," 473930 "," 535298 "
2.01.02.01.01," Fornecedores "," 358473 "," 366543 "," 427221 "
2.01.02.01.02," Fornecedores convênio "," 122678 "," 107387 "," 108077 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 77763 "," 63511 "," 66918 "
2.01.03.01," Obrigações Fiscais Federais "," 77763 "," 63511 "," 66918 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 1606 "," 297 "," 9203 "
2.01.03.01.02," Tributos a recolher "," 76157 "," 63214 "," 57715 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 651372 "," 706405 "," 680302 "
2.01.04.01," Empréstimos e Financiamentos "," 480253 "," 541497 "," 418123 "
2.01.04.01.01," Em Moeda Nacional "," 480253 "," 541497 "," 418123 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 171119 "," 164908 "," 262179 "
2.01.05," Outras Obrigações "," 142394 "," 150221 "," 158498 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 142394 "," 150221 "," 158498 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Receita diferida "," 8013 "," 16714 "," 15746 "
2.01.05.02.05," Instrumentos financeiros "," 29 "," 6913 "," 1081 "
2.01.05.02.06," Aluguéis, condomínios e fundo de promoção a pagar "," 25946 "," 18358 "," 23421 "
2.01.05.02.07," Outros passivos circulantes "," 108406 "," 108236 "," 118250 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
