Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 452303 "," 562838 "," 822753 "
2.01," Passivo Circulante "," 29346 "," 78483 "," 154634 "
2.01.01," Obrigações Sociais e Trabalhistas "," 197 "," 224 "," 212 "
2.01.01.01," Obrigações Sociais "," 80 "," 95 "," 87 "
2.01.01.02," Obrigações Trabalhistas "," 117 "," 129 "," 125 "
2.01.02," Fornecedores "," "," "," "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.01.01," Fornecedores "," "," "," "
2.01.02.01.02," Provisoes para pagamentos a efetuar "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 1005 "," 11807 "," 7429 "
2.01.03.01," Obrigações Fiscais Federais "," 1005 "," 11807 "," 7429 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 589 "," 11144 "," 6773 "
2.01.03.01.02," IRRF s/ salário a recolher "," 97 "," 155 "," 104 "
2.01.03.01.03," IRRF s/ pessoa jurídica a recolher "," "," "," "
2.01.03.01.04," PCC s/ pessoa jurídica a recolher "," 2 "," 2 "," 1 "
2.01.03.01.05," PIS a Recolher "," 55 "," 90 "," 98 "
2.01.03.01.06," COFINS a Recolher "," 262 "," 416 "," 453 "
2.01.03.01.07," IRRF s/ Juros Capital Proprio "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 23322 "," 59537 "," 124372 "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 23322 "," 59537 "," 124372 "
2.01.04.02.01," Debêntures com Garantia Real - 1ª Emissão "," "," "," "
2.01.04.02.02," Custo de Emissão de Debêntures "," "," "," "
2.01.04.02.03," Debêntures Mezanino - 1ª série da 2ª Emissão "," 23349 "," 59764 "," 89492 "
2.01.04.02.04," Custo de Emissão de Debêntures "," -27 "," -227 "," -736 "
2.01.04.02.05," Debêntures Seniores - 3ª Emissão "," 0 "," 0 "," 35623 "
2.01.04.02.06," Custo de Emissão de Debêntures "," 0 "," 0 "," -7 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 4598 "," 6677 "," 22411 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 4598 "," 6677 "," 22411 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Valores Transitórios a Pagar "," 1547 "," 436 "," 10608 "
2.01.05.02.05," Seguros a Pagar "," "," "," "
2.01.05.02.06," Juros a Pagar s/ Capital Próprio "," 3000 "," 6202 "," 11765 "
2.01.05.02.07," Outros Obrigações "," 51 "," 39 "," 38 "
2.01.06," Provisões "," 224 "," 238 "," 210 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 224 "," 238 "," 210 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," 224 "," 238 "," 210 "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões para pagamentos a efetuar "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 0 "," 62957 "," 247047 "
2.02.01," Empréstimos e Financiamentos "," 0 "," 62957 "," 247047 "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 0 "," 62957 "," 247047 "
