Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 622592 "," 605469 "," 611018 "
2.01," Passivo Circulante "," 108641 "," 84572 "," 110776 "
2.01.01," Obrigações Sociais e Trabalhistas "," 9418 "," 6565 "," 6134 "
2.01.01.01," Obrigações Sociais "," 4600 "," 0 "," 992 "
2.01.01.01.01," Provisão para Manutenção "," 4600 "," 0 "," 992 "
2.01.01.02," Obrigações Trabalhistas "," 4818 "," 6565 "," 5142 "
2.01.02," Fornecedores "," 35916 "," 18860 "," 21635 "
2.01.02.01," Fornecedores Nacionais "," 35916 "," 18860 "," 21635 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 6595 "," 2521 "," 2151 "
2.01.03.01," Obrigações Fiscais Federais "," 6595 "," 2521 "," 2151 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Outros "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 35720 "," 37772 "," 35262 "
2.01.04.01," Empréstimos e Financiamentos "," 35720 "," 37772 "," 35262 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 20992 "," 18854 "," 45594 "
2.01.05.01," Passivos com Partes Relacionadas "," 603 "," 925 "," 29797 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 20389 "," 17929 "," 15797 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 1438 "," 1261 "," 1261 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outras Contas a Pagar "," 18499 "," 16131 "," 14005 "
2.01.05.02.05," Passivos de Arrendamento "," 452 "," 537 "," 531 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para Manutenção "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 134627 "," 166321 "," 154506 "
2.02.01," Empréstimos e Financiamentos "," 65093 "," 102458 "," 119644 "
2.02.01.01," Empréstimos e Financiamentos "," 65093 "," 102458 "," 119644 "
2.02.01.01.01," Em Moeda Nacional "," 65093 "," 102458 "," 119644 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 47159 "," 41744 "," 14291 "
2.02.02.01," Passivos com Partes Relacionadas "," 34048 "," 31566 "," 2030 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," 34048 "," 31566 "," 2030 "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 13111 "," 10178 "," 12261 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Contas a Pagar "," 9714 "," 8794 "," 9239 "
2.02.02.02.04," Outras obrigações "," 3397 "," 1384 "," 3022 "
2.02.03," Tributos Diferidos "," 13271 "," 11208 "," 12338 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 13271 "," 11208 "," 12338 "
2.02.04," Provisões "," 9104 "," 10911 "," 8233 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 4870 "," 4322 "," 3863 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 4234 "," 6589 "," 4370 "
2.02.04.02.01," Provisões para Garantias "," 4172 "," 6326 "," 3854 "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Passivos de Arrendamento "," 62 "," 263 "," 516 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 379324 "," 354576 "," 345736 "
2.03.01," Capital Social Realizado "," 320535 "," 320535 "," 320535 "
2.03.02," Reservas de Capital "," 58221 "," 53434 "," 43587 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," 58221 "," 53434 "," 43587 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," "," "," "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.04.10," AFAC "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," 568 "," -19393 "," -18386 "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
