Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 541294 "," 529249 "," 623274 "
2.01," Passivo Circulante "," 271343 "," 182766 "," 222506 "
2.01.01," Obrigações Sociais e Trabalhistas "," 1476 "," 2040 "," 6676 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 41121 "," 22059 "," 42330 "
2.01.02.01," Fornecedores Nacionais "," 40570 "," 21723 "," 32353 "
2.01.02.02," Fornecedores Estrangeiros "," 551 "," 336 "," 9977 "
2.01.03," Obrigações Fiscais "," 4904 "," 2131 "," 4467 "
2.01.03.01," Obrigações Fiscais Federais "," 4904 "," 2131 "," 4467 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Impostos e contribuições a recolher "," 4904 "," 2131 "," 4467 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 47517 "," 17483 "," 52627 "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 42106 "," 967 "," 41135 "
2.01.04.03," Financiamento por Arrendamento "," 5411 "," 16516 "," 11492 "
2.01.05," Outras Obrigações "," 176325 "," 139053 "," 116406 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 176325 "," 139053 "," 116406 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamentos de clientes "," 168207 "," 134298 "," 107551 "
2.01.05.02.05," Patrocínios - lei de incentivo à cultura "," 6476 "," 0 "," 0 "
2.01.05.02.06," Outras obrigações "," 1642 "," 4755 "," 8855 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.06," Outras provisões "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 134867 "," 156520 "," 124144 "
2.02.01," Empréstimos e Financiamentos "," 85788 "," 126976 "," 103435 "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 80000 "," 120000 "," 80000 "
2.02.01.03," Financiamento por Arrendamento "," 5788 "," 6976 "," 23435 "
2.02.02," Outras Obrigações "," 23194 "," 1573 "," 911 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 23194 "," 1573 "," 911 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.04," Impostos e contribuições a recolher "," 22828 "," 1207 "," 911 "
2.02.02.02.05," Outras obrigaçoes "," 366 "," 366 "," 0 "
2.02.03," Tributos Diferidos "," 220 "," 185 "," 478 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 220 "," 185 "," 478 "
2.02.04," Provisões "," 25665 "," 27786 "," 19320 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 25665 "," 27786 "," 19320 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 25665 "," 27786 "," 19320 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
