Conta," Descrição "," 31/12/2018 "," 31/12/2017 "," 31/12/2016 "
2," Passivo Total "," 72150 "," 144941 "," 1458384 "
2.01," Passivo Circulante "," 190905 "," 1375821 "," 1031504 "
2.01.01," Obrigações Sociais e Trabalhistas "," 8943 "," 31903 "," 57482 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 8943 "," 31903 "," 57482 "
2.01.02," Fornecedores "," 42717 "," 190758 "," 271066 "
2.01.02.01," Fornecedores Nacionais "," 42717 "," 190758 "," 271066 "
2.01.02.01.01," Fornecedores Nacionais "," 42717 "," 190758 "," 271066 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 123875 "," 127821 "," 21269 "
2.01.03.01," Obrigações Fiscais Federais "," 123875 "," 127821 "," 21269 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 0 "," 89 "," 228 "
2.01.03.01.02," Outros Impostos e Contribuições "," 0 "," 127732 "," 21041 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 15370 "," 1015916 "," 626765 "
2.01.04.01," Empréstimos e Financiamentos "," 0 "," 590177 "," 131507 "
2.01.04.01.01," Em Moeda Nacional "," 0 "," 590177 "," 131507 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 15370 "," 425739 "," 495258 "
2.01.04.03," Financiamento por Arrendamento Financeiro "," "," "," "
2.01.05," Outras Obrigações "," 0 "," 9423 "," 54922 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 0 "," 9423 "," 54922 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Fundo de Publicidade Administrado "," "," "," "
2.01.05.02.05," Demais Contas a Pagar "," 0 "," 9417 "," 53772 "
2.01.05.02.06," Contas a Pagar por Aquisição de Investimento "," "," "," "
2.01.05.02.07," Repasses a Pagar "," "," "," "
2.01.05.02.08," Receita Diferida "," 0 "," 6 "," 1113 "
2.01.05.02.09," Derivativos "," 0 "," 0 "," 37 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões para Demandas Judiciais "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 149628 "," 86459 "," 122544 "
2.02.01," Empréstimos e Financiamentos "," 48825 "," 0 "," 8373 "
2.02.01.01," Empréstimos e Financiamentos "," 28284 "," 0 "," 8373 "
2.02.01.01.01," Em Moeda Nacional "," 0 "," 0 "," 8373 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 20541 "," 0 "," 0 "
2.02.01.03," Financiamento por Arrendamento Financeiro "," "," "," "
2.02.02," Outras Obrigações "," 9533 "," 2828 "," 59507 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 9533 "," 2828 "," 59507 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Demais Contas a Pagar "," 0 "," 0 "," 8023 "
2.02.02.02.04," Contas a Pagar por Aquisição de Investimento "," "," "," "
2.02.02.02.05," Outros Impostos e Contribuições "," 5122 "," 1740 "," 50761 "
2.02.02.02.06," Receitas Diferidas "," "," "," "
2.02.02.02.07," Provisão para passivo descoberto "," "," "," "
2.02.02.02.08," Fornecedores "," 4411 "," 1088 "," 723 "
2.02.03," Tributos Diferidos "," 0 "," 262 "," 0 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 0 "," 262 "," 0 "
2.02.04," Provisões "," 91270 "," 83369 "," 54664 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 91270 "," 83369 "," 54664 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Provisões para Demandas Judiciais "," 91270 "," 83369 "," 54664 "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido Consolidado "," -268383 "," -1317339 "," 304336 "
2.03.01," Capital Social Realizado "," 2186972 "," 2186972 "," 2186972 "
2.03.02," Reservas de Capital "," 0 "," 0 "," -28827 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," "," "," "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," -2455355 "," -3504311 "," -1853809 "
