Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 318201799 "," 253266798 "," 176078357 "
2.01," Passivo Circulante "," 194330197 "," 170078482 "," 113518693 "
2.01.01," Depósitos "," 85064987 "," 54496144 "," 22229660 "
2.01.01.01," Depósitos à vista "," 9436159 "," 2474628 "," 597557 "
2.01.01.02," Depósitos interfinanceiros - ligadas "," 0 "," 0 "," 676476 "
2.01.01.03," Depósitos interfinanceiros "," 1278050 "," 1190218 "," 151338 "
2.01.01.04," Depósitos à prazo "," 74350778 "," 50831298 "," 20804289 "
2.01.01.05," Outros depósitos "," "," "," "
2.01.02," Captações no Mercado Aberto "," 61083259 "," 60665011 "," 36676030 "
2.01.02.01," Carteira própria "," 24081405 "," 35310369 "," 7784727 "
2.01.02.02," Carteira de terceiros "," 34361767 "," 20602090 "," 22985715 "
2.01.02.03," Carteira de livre movimentação "," 2640087 "," 4752552 "," 5905588 "
2.01.03," Recursos de Aceites e Emissão de Títulos "," 14425291 "," 23300233 "," 5323907 "
2.01.03.01," Recursos de letras imobiliárias "," 8089290 "," 3473976 "," 3771947 "
2.01.03.02," Obrigações por títulos e valores mobiliários no exterior "," 494498 "," 117587 "," 1450989 "
2.01.03.03," Captação por certificados de operações estruturadas "," 46070 "," 19708670 "," 100971 "
2.01.03.04," Letras Financeiras "," 5795433 "," 0 "," 0 "
2.01.04," Relações Interfinanceiras "," 675195 "," 69110 "," 155 "
2.01.04.01," Recebimentos e pagamentos a liquidar "," 675195 "," 69110 "," 155 "
2.01.05," Relações Interdependências "," 647753 "," 364016 "," 40349 "
2.01.05.01," Recebimentos e pagamentos a liquidar "," 647753 "," 364016 "," 40349 "
2.01.06," Obrigações por Empréstimos "," 1210785 "," 2371740 "," 1014396 "
2.01.06.01," Empréstimos no exterior "," 1181369 "," 2371740 "," 1014396 "
2.01.06.02," Empréstimos no país "," 29416 "," 0 "," 0 "
2.01.07," Obrigações por Repasse do País "," 0 "," 0 "," 143 "
2.01.07.01," Instituições Oficiais "," 0 "," 0 "," 143 "
2.01.08," Obrigações por Repasse do Exterior "," "," "," "
2.01.09," Outras Obrigações "," 31222927 "," 28812228 "," 48234053 "
2.01.09.01," Instrumentos financeiros derivativos "," 4386773 "," 4759118 "," 5901619 "
2.01.09.02," Cobrança e arrecadação e assemelhados "," 25422 "," 2164 "," 20573 "
2.01.09.03," Carteira de câmbio "," 21032830 "," 18707516 "," 37457455 "
2.01.09.04," Sociais e estatutárias "," 1921578 "," 1719211 "," 1053000 "
2.01.09.05," Fiscais e previdenciárias "," 497249 "," 264196 "," 135636 "
2.01.09.06," Negociação e intermediação de valores "," 2414560 "," 1328518 "," 2133681 "
2.01.09.07," Diversas "," 798598 "," 1268478 "," 97860 "
2.01.09.08," Dívidas subordinadas "," 69374 "," 763027 "," 1434229 "
2.01.09.09," Provisões de perda para fiança "," 64121 "," 0 "," 0 "
2.01.09.10," Instrumentos de dívida elegíveis a capital "," 12422 "," 0 "," 0 "
2.02," Passivo Exigível a Longo Prazo "," 86143260 "," 56244218 "," 41055898 "
2.02.01," Depósitos "," 3926093 "," 2137416 "," 2281986 "
2.02.01.01," Depósitos a prazo "," 1937483 "," 1985719 "," 2171389 "
2.02.01.02," Depósitos interfinanceiros "," 1988610 "," 151697 "," 110597 "
2.02.02," Captações no Mercado Aberto "," 1347581 "," 1917977 "," 567013 "
2.02.02.01," Carteira Própria "," "," "," "
2.02.02.02," Carteira livre movimentação "," 1347581 "," 1917977 "," 567013 "
2.02.02.03," Carteira de terceiros "," "," "," "
2.02.03," Recursos de Aceites e Emissão de Títulos "," 29810596 "," 17127453 "," 16510769 "
2.02.03.01," Recursos de letras imobiliárias "," 7992119 "," 1884358 "," 9367880 "
2.02.03.02," Obrigações por títulos e valores mobiliários no exterior "," 12196773 "," 163742 "," 7067456 "
2.02.03.03," Captação por certificados de operações estruturadas "," 594136 "," 11001432 "," 75433 "
2.02.03.04," Letras Financeiras "," 9027568 "," 4077921 "," 0 "
2.02.04," Relações Interfinanceiras "," "," "," "
2.02.05," Relações Interdependências "," "," "," "
2.02.06," Obrigações por Empréstimos "," "," "," "
2.02.06.01," Empréstimos no país "," "," "," "
2.02.06.02," Empréstimos no exterior "," "," "," "
2.02.07," Obrigações por Repasse do País "," 6482383 "," 3857597 "," 2875518 "
2.02.07.01," FINAME "," 0 "," 0 "," 2714496 "
2.02.07.02," Empréstimos no exterior "," 2457836 "," 90120 "," 161022 "
2.02.07.03," Empréstimos no pais "," 4024547 "," 3767477 "," 0 "
2.02.08," Obrigações por Repasse do Exterior "," "," "," "
2.02.09," Outras Obrigações "," 44576607 "," 31203775 "," 18820612 "
2.02.09.01," Instrumentos financeiros derivativos "," 35521050 "," 23239687 "," 11574053 "
2.02.09.02," Carteira de câmbio "," 229434 "," 85968 "," 87121 "
2.02.09.04," Fiscais e previdenciárias "," 1256 "," 1509 "," 4048 "
2.02.09.06," Diversas "," 1306189 "," 1661815 "," 1442444 "
2.02.09.07," Dívida subordinada "," 1997729 "," 2188893 "," 2372191 "
2.02.09.08," Instrumentos de dívida elegíveis a capital "," 5520949 "," 4025903 "," 3340755 "
2.03," Resultados de Exercícios Futuros "," 348596 "," 263443 "," 137605 "
2.03.01," Resultado de Exercícios Futuros "," 348596 "," 263443 "," 137605 "
2.05," Patrimônio Líquido "," 37379746 "," 26680655 "," 21366161 "
2.05.01," Capital Social Realizado "," 15760364 "," 10013243 "," 7392092 "
2.05.01.01," Capital Social domiciliado no país "," 15760364 "," 10013243 "," 6615893 "
2.05.01.02," Capital Social domiciliado no exterior "," 0 "," 0 "," 776199 "
2.05.02," Reservas de Capital "," 652515 "," 652515 "," 652515 "
2.05.03," Reservas de Reavaliação "," "," "," "
2.05.03.01," Ativos Próprios "," "," "," "
2.05.03.02," Controladas/Coligadas e Equiparadas "," "," "," "
2.05.04," Reservas de Lucro "," 19395411 "," 14349864 "," 12258451 "
2.05.04.01," Legal "," 1911786 "," 1597062 "," 1433056 "
2.05.04.02," Estatutária "," 15503141 "," 10374643 "," 8613020 "
2.05.04.03," Para Contingências "," "," "," "
2.05.04.04," De Lucros a Realizar "," 1980484 "," 2378159 "," 2378159 "
2.05.04.05," Retenção de Lucros "," "," "," "
2.05.04.06," Especial p/ Dividendos Não Distribuídos "," "," "," "
2.05.04.07," Outras Reservas de Lucro "," 0 "," 0 "," -165784 "
2.05.04.07.01," Ações em Tesouraria "," 0 "," 0 "," -165784 "
2.05.05," Ajustes de Avaliação Patrimonial "," 1571456 "," 1665033 "," 1063103 "
2.05.05.01," Ajustes de Títulos e Valores Mobiliários "," "," "," "
2.05.05.02," Ajustes Acumulados de Conversão "," "," "," "
2.05.05.03," Ajustes de Combinação de Negócios "," "," "," "
2.05.06," Lucros/Prejuízos Acumulados "," "," "," "
