Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6517530 "," 5714497 "," 4717665 "
2.01," Passivo Circulante "," 602288 "," 445963 "," 323192 "
2.01.01," Obrigações Sociais e Trabalhistas "," 33756 "," 39460 "," 26198 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 146142 "," 68506 "," 49945 "
2.01.02.01," Fornecedores Nacionais "," 146142 "," 68506 "," 49945 "
2.01.02.01.01," Fornecedores "," 146142 "," 68506 "," 49945 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 98459 "," 93863 "," 39369 "
2.01.03.01," Obrigações Fiscais Federais "," 98459 "," 93863 "," 39369 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 63078 "," 67622 "," 21971 "
2.01.03.01.02," Impostos Diferidos "," "," "," "
2.01.03.01.03," Obrigações tributárias "," 35381 "," 26241 "," 17398 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 274877 "," 218947 "," 172382 "
2.01.04.01," Empréstimos e Financiamentos "," 174707 "," 185954 "," 172275 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 6182 "," 0 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," 93988 "," 32993 "," 107 "
2.01.04.03.01," Arrendamento a pagar "," 69942 "," 14446 "," 107 "
2.01.04.03.02," Arrendamento outorga "," 24046 "," 18547 "," 0 "
2.01.05," Outras Obrigações "," 26720 "," 15393 "," 29414 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 26720 "," 15393 "," 29414 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 0 "," 237 "," 2834 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outras contas a pagar "," 23070 "," 7841 "," 4859 "
2.01.05.02.05," Instrumentos Financeiros "," "," "," "
2.01.05.02.06," Contas a pagar - aquisição de controladas "," "," "," "
2.01.05.02.07," Risco sacado a pagar "," "," "," "
2.01.05.02.08," Adiantamento de clientes "," 3650 "," 7315 "," 21721 "
2.01.06," Provisões "," 22334 "," 9794 "," 5884 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 22334 "," 9794 "," 5884 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 4667588 "," 3742707 "," 2850902 "
2.02.01," Empréstimos e Financiamentos "," 4662380 "," 3742707 "," 2850902 "
2.02.01.01," Empréstimos e Financiamentos "," 4088266 "," 3537180 "," 2818234 "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 370251 "," 0 "," 0 "
2.02.01.03," Financiamento por Arrendamento "," 203863 "," 205527 "," 32668 "
2.02.02," Outras Obrigações "," 5208 "," 0 "," 0 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 5208 "," 0 "," 0 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Instrumentos Financeiros Derivativos "," "," "," "
2.02.02.02.04," Contas a pagar - aquisição de controladas "," "," "," "
2.02.02.02.05," Outras contas a pagar "," "," "," "
2.02.03," Tributos Diferidos "," "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," "," "," "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido Consolidado "," 1247654 "," 1525827 "," 1543571 "
2.03.01," Capital Social Realizado "," 1334584 "," 1334584 "," 1282798 "
2.03.01.01," Capital Social "," 1359469 "," 1359469 "," 1307683 "
2.03.01.02," Custo na emissão de ações "," -24885 "," -24885 "," -24885 "
2.03.02," Reservas de Capital "," 34871 "," 34176 "," 17127 "
2.03.02.01," Ágio na Emissão de Ações "," 4401 "," 4401 "," 4401 "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," 30470 "," 29775 "," 12726 "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Reserva de Capital Excedente de Capital "," "," "," "
2.03.02.08," Plano de opções de ações efetuadas com títulos patrimoniais "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 0 "," 0 "," 84499 "
2.03.04.01," Reserva Legal "," 0 "," 0 "," 11036 "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," 0 "," 0 "," 37636 "
2.03.04.08," Dividendo Adicional Proposto "," 0 "," 0 "," 35827 "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," -336096 "," -21046 "," 0 "
2.03.06," Ajustes de Avaliação Patrimonial "," -354977 "," -330133 "," -126517 "
2.03.06.01," Ajuste de instrumentos financeiros derivativos "," -354977 "," -330133 "," -126517 "
2.03.07," Ajustes Acumulados de Conversão "," 569272 "," 508246 "," 285664 "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," "," "," "
