Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 10833858 "," 2933780 "," 2522778 "
2.01," Passivo Circulante "," 1416420 "," 351395 "," 375748 "
2.01.01," Obrigações Sociais e Trabalhistas "," 40465 "," 28444 "," 25677 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 40465 "," 28444 "," 25677 "
2.01.01.02.01," Provisões e encargos trabalhistas "," 40465 "," 28444 "," 25677 "
2.01.02," Fornecedores "," 1210580 "," 81324 "," 100949 "
2.01.02.01," Fornecedores Nacionais "," 1210580 "," 81324 "," 100949 "
2.01.02.01.01," Fornecedores e outras contas a pagar "," 117680 "," 81324 "," 100949 "
2.01.02.01.02," Poder concedente a pagar "," 1092900 "," 0 "," 0 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 29758 "," 26701 "," 30863 "
2.01.03.01," Obrigações Fiscais Federais "," 27320 "," 24621 "," 28508 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 114 "," 1129 "," 546 "
2.01.03.01.02," Outras Obrigações Fiscais Federais "," 27206 "," 23492 "," 27962 "
2.01.03.02," Obrigações Fiscais Estaduais "," 1 "," 0 "," 0 "
2.01.03.03," Obrigações Fiscais Municipais "," 2437 "," 2080 "," 2355 "
2.01.04," Empréstimos e Financiamentos "," 128649 "," 214926 "," 217539 "
2.01.04.01," Empréstimos e Financiamentos "," 92415 "," 135011 "," 121100 "
2.01.04.01.01," Em Moeda Nacional "," 92415 "," 135011 "," 121100 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 36234 "," 79915 "," 96439 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 6968 "," 0 "," 720 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 6968 "," 0 "," 720 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 0 "," 0 "," 720 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outras Contas a Pagar "," "," "," "
2.01.05.02.05," Outras obrigações "," 6288 "," 0 "," 0 "
2.01.05.02.06," Passivos da operação descontinuada "," 680 "," 0 "," 0 "
2.01.05.02.08," Instrumentos financeiros derivativos "," "," "," "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões e encargos trabalhistas "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 6529006 "," 1772462 "," 1309869 "
2.02.01," Empréstimos e Financiamentos "," 4882509 "," 1558868 "," 1120621 "
2.02.01.01," Empréstimos e Financiamentos "," 651938 "," 644487 "," 670359 "
2.02.01.01.01," Em Moeda Nacional "," 651938 "," 644487 "," 670359 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 4230571 "," 914381 "," 450262 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 1526635 "," 87673 "," 74648 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 1526635 "," 87673 "," 74648 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," 0 "," 2729 "," 1267 "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Obrigações fiscais "," 68368 "," 75148 "," 72837 "
