Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1068780 "," 1104212 "," 989437 "
2.01," Passivo Circulante "," 84039 "," 180941 "," 194550 "
2.01.01," Obrigações Sociais e Trabalhistas "," 5727 "," 4593 "," 4526 "
2.01.01.01," Obrigações Sociais "," 1633 "," 1362 "," 1189 "
2.01.01.02," Obrigações Trabalhistas "," 4094 "," 3231 "," 3337 "
2.01.02," Fornecedores "," 22626 "," 18463 "," 20914 "
2.01.02.01," Fornecedores Nacionais "," 22626 "," 18463 "," 20914 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 20995 "," 7690 "," 5686 "
2.01.03.01," Obrigações Fiscais Federais "," 20913 "," 7627 "," 5459 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 16919 "," 3831 "," 1183 "
2.01.03.01.02," Obrigações Fiscais Federais "," 3994 "," 3796 "," 4276 "
2.01.03.02," Obrigações Fiscais Estaduais "," 1 "," 1 "," 96 "
2.01.03.03," Obrigações Fiscais Municipais "," 81 "," 62 "," 131 "
2.01.04," Empréstimos e Financiamentos "," 32137 "," 70425 "," 66560 "
2.01.04.01," Empréstimos e Financiamentos "," 29636 "," 36535 "," 31723 "
2.01.04.01.01," Em Moeda Nacional "," 29636 "," 36535 "," 31723 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 2501 "," 33890 "," 34837 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 2554 "," 79770 "," 96864 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 2554 "," 79770 "," 96864 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 0 "," 77570 "," 95475 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.08," Outras Contas a Pagar "," 2554 "," 2200 "," 1389 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 494383 "," 544328 "," 426201 "
2.02.01," Empréstimos e Financiamentos "," 437569 "," 497120 "," 391975 "
2.02.01.01," Empréstimos e Financiamentos "," 188506 "," 216334 "," 226149 "
2.02.01.01.01," Em Moeda Nacional "," 188506 "," 216334 "," 226149 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 249063 "," 280786 "," 165826 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 23371 "," 14169 "," 7050 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 23371 "," 14169 "," 7050 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Fornecedores e empreiteiros "," 8421 "," 0 "," 0 "
2.02.02.02.05," Provisão para Demandas Judiciais "," 14556 "," 14117 "," 6906 "
2.02.02.02.08," Outras Contas a Pagar "," 394 "," 52 "," 144 "
2.02.03," Tributos Diferidos "," 33443 "," 33039 "," 27176 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 33443 "," 33039 "," 27176 "
2.02.04," Provisões "," "," "," "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 490358 "," 378943 "," 368686 "
2.03.01," Capital Social Realizado "," 376353 "," 255041 "," 255041 "
2.03.01.01," Capital Social "," 376353 "," 255041 "," 255041 "
2.03.02," Reservas de Capital "," -13030 "," 0 "," 0 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," -13030 "," 0 "," 0 "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 127035 "," 123902 "," 113645 "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," 127035 "," 123902 "," 113645 "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
