Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 93039011 "," 76972969 "," 75983072 "
2.01," Passivo Circulante "," 24248036 "," 15635839 "," 15385623 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 12614788 "," 7657181 "," 9025208 "
2.01.02.01," Fornecedores Nacionais "," 12614788 "," 7657181 "," 9025208 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 1569534 "," 677388 "," 102255 "
2.01.03.01," Obrigações Fiscais Federais "," 1459734 "," 647036 "," 73255 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Programa de Integração Social - PIS e Contribuição para Financiamento da Seguridade Social - COFINS "," "," "," "
2.01.03.01.03," Imposto de Renda Retido na Fonte "," "," "," "
2.01.03.01.04," FUST, FUNTTEL, FISTEL "," "," "," "
2.01.03.01.05," Outros "," 11987 "," 5220 "," 3841 "
2.01.03.01.06," Obrigações fiscais federais "," 1447747 "," 641816 "," 69414 "
2.01.03.02," Obrigações Fiscais Estaduais "," 81775 "," 708 "," 1715 "
2.01.03.02.01," Imposto sobre Circulação de Mercadorias e Serviços - ICMS "," "," "," "
2.01.03.02.02," Programa de Recuperação Fiscal - REFIS "," "," "," "
2.01.03.02.03," Obrigações fiscais estaduais "," 81775 "," 708 "," 1715 "
2.01.03.03," Obrigações Fiscais Municipais "," 28025 "," 29644 "," 27285 "
2.01.03.03.01," Obrigações fiscais estaduais "," 28025 "," 29644 "," 27285 "
2.01.04," Empréstimos e Financiamentos "," 5857462 "," 3039140 "," 1569486 "
2.01.04.01," Empréstimos e Financiamentos "," 2255125 "," 374162 "," 0 "
2.01.04.01.01," Em Moeda Nacional "," 2255125 "," 374162 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 3602337 "," 2664978 "," 1569486 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 3759622 "," 3786777 "," 4191874 "
2.01.05.01," Passivos com Partes Relacionadas "," 794380 "," 1686421 "," 2178451 "
