Conta," Descrição "," 31/03/2022 "," 31/03/2021 "," 31/03/2020 "
2," Passivo Total "," 929511 "," 849692 "," 791670 "
2.01," Passivo Circulante "," 114126 "," 112217 "," 103495 "
2.01.01," Obrigações Sociais e Trabalhistas "," 30735 "," 25587 "," 23328 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 30735 "," 25587 "," 23328 "
2.01.02," Fornecedores "," 14650 "," 18045 "," 11497 "
2.01.02.01," Fornecedores Nacionais "," 13936 "," 16556 "," 8144 "
2.01.02.02," Fornecedores Estrangeiros "," 714 "," 1489 "," 3353 "
2.01.03," Obrigações Fiscais "," 5776 "," 3029 "," 2895 "
2.01.03.01," Obrigações Fiscais Federais "," 5776 "," 3029 "," 2893 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 5776 "," 3029 "," 2893 "
2.01.03.02," Obrigações Fiscais Estaduais "," 0 "," 0 "," 2 "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 24609 "," 36102 "," 54364 "
2.01.04.01," Empréstimos e Financiamentos "," 16190 "," 29400 "," 50063 "
2.01.04.01.01," Em Moeda Nacional "," 16190 "," 29400 "," 50063 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 8419 "," 6702 "," 4301 "
2.01.05," Outras Obrigações "," 35578 "," 26622 "," 5712 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 35578 "," 26622 "," 5712 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 35578 "," 26622 "," 5712 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.06," Provisões "," 2778 "," 2832 "," 5699 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 2778 "," 2832 "," 5699 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Outras provisões "," 2778 "," 2832 "," 5699 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 24262 "," 48474 "," 92232 "
2.02.01," Empréstimos e Financiamentos "," 23457 "," 47669 "," 90441 "
2.02.01.01," Empréstimos e Financiamentos "," 0 "," 22029 "," 66642 "
2.02.01.01.01," Em Moeda Nacional "," 0 "," 22029 "," 66642 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," 23457 "," 25640 "," 23799 "
2.02.02," Outras Obrigações "," "," "," "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," "," "," "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.03," Tributos Diferidos "," "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," 805 "," 805 "," 1791 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 805 "," 805 "," 1791 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 805 "," 805 "," 1791 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 791123 "," 689001 "," 595943 "
2.03.01," Capital Social Realizado "," 562203 "," 562203 "," 562203 "
2.03.02," Reservas de Capital "," 10859 "," 9835 "," 0 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," 10859 "," 9835 "," 0 "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 217051 "," 114874 "," 32221 "
2.03.04.01," Reserva Legal "," 14233 "," 7533 "," 2113 "
2.03.04.02," Reserva Estatutária "," 202818 "," 107341 "," 30108 "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
