Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2310217 "," 1969262 "," 1625791 "
2.01," Passivo Circulante "," 726379 "," 526912 "," 333746 "
2.01.01," Obrigações Sociais e Trabalhistas "," 84689 "," 44342 "," 43163 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 219343 "," 234655 "," 136674 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 34900 "," 31916 "," 19131 "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 218644 "," 110999 "," 11157 "
2.01.04.01," Empréstimos e Financiamentos "," 113212 "," 110881 "," 10964 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 105432 "," 118 "," 193 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 168803 "," 105000 "," 123621 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 168803 "," 105000 "," 123621 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 19233 "," 0 "," 0 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 0 "," 0 "," 2935 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Obrigações por compra de investimentos "," 76041 "," 43991 "," 76346 "
2.01.05.02.05," Parcelamentos tributários "," 7982 "," 8070 "," 8573 "
2.01.05.02.06," Arrendamento "," 57149 "," 41282 "," 27755 "
2.01.05.02.20," Outros passivos circulantes "," 8398 "," 11657 "," 8012 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
