Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 18533473 "," 15794457 "," 19197490 "
2.01," Passivo Circulante "," 11710253 "," 10212631 "," 6862020 "
2.01.01," Obrigações Sociais e Trabalhistas "," 459697 "," 400371 "," 357571 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 459697 "," 400371 "," 357571 "
2.01.02," Fornecedores "," 1771663 "," 2238668 "," 1376850 "
2.01.02.01," Fornecedores Nacionais "," 1195907 "," 1401257 "," 952439 "
2.01.02.02," Fornecedores Estrangeiros "," 575756 "," 837411 "," 424411 "
2.01.03," Obrigações Fiscais "," 127685 "," 55260 "," 49060 "
2.01.03.01," Obrigações Fiscais Federais "," 121477 "," 52372 "," 44940 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," PIS/COFINS "," 74031 "," 20397 "," 206 "
2.01.03.01.03," Outros "," 47446 "," 31975 "," 44734 "
2.01.03.02," Obrigações Fiscais Estaduais "," 1006 "," 1351 "," 653 "
2.01.03.03," Obrigações Fiscais Municipais "," 5202 "," 1537 "," 3467 "
2.01.04," Empréstimos e Financiamentos "," 4521055 "," 3130681 "," 2066460 "
2.01.04.01," Empréstimos e Financiamentos "," 1023390 "," 858332 "," 481227 "
2.01.04.01.01," Em Moeda Nacional "," 635136 "," 473854 "," 318456 "
2.01.04.01.02," Em Moeda Estrangeira "," 388254 "," 384478 "," 162771 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 3497665 "," 2272349 "," 1585233 "
2.01.05," Outras Obrigações "," 3853050 "," 3533841 "," 2688638 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 3853050 "," 3533841 "," 2688638 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Taxas e tarifas "," 217863 "," 137075 "," 0 "
2.01.05.02.05," Fornecedores - risco sacado "," 3694 "," 157801 "," 249727 "
2.01.05.02.06," Transportes a executar "," 3063816 "," 2488872 "," 2090222 "
2.01.05.02.07," Prêmios de seguros a pagar "," 92793 "," 52427 "," 49938 "
2.01.05.02.08," Programa de parcelamento governamental "," 69691 "," 13358 "," 13480 "
2.01.05.02.09," Instrumentos financeiros derivativos "," 77509 "," 173769 "," 81196 "
2.01.05.02.10," Outros passivos circulantes "," 153998 "," 289197 "," 200043 "
2.01.05.02.11," Reembolso a clientes "," 173686 "," 221342 "," 4032 "
2.01.06," Provisões "," 977103 "," 853810 "," 323441 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 977103 "," 853810 "," 323441 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Outros "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 25156223 "," 19730576 "," 15854644 "
2.02.01," Empréstimos e Financiamentos "," 20388251 "," 16750645 "," 13558317 "
2.02.01.01," Empréstimos e Financiamentos "," 8995341 "," 6502182 "," 3036929 "
2.02.01.01.01," Em Moeda Nacional "," 877151 "," 1145407 "," 575585 "
2.02.01.01.02," Em Moeda Estrangeira "," 8118190 "," 5356775 "," 2461344 "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," 11392910 "," 10248463 "," 10521388 "
2.02.02," Outras Obrigações "," 2245486 "," 991266 "," 563900 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 2245486 "," 991266 "," 563900 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.04," Instrumentos financeiros derivativos "," 209542 "," 247265 "," 228994 "
2.02.02.02.05," Programa de parcelamento governamental "," 352108 "," 108519 "," 119300 "
2.02.02.02.06," Outros passivos não circulantes "," 1120334 "," 312423 "," 215606 "
2.02.02.02.07," Fornecedores "," 563502 "," 323059 "," 0 "
2.02.03," Tributos Diferidos "," 0 "," 0 "," 242516 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 0 "," 0 "," 242516 "
2.02.04," Provisões "," 2522486 "," 1988665 "," 1489911 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Outros "," "," "," "
2.02.04.02," Outras Provisões "," 2522486 "," 1988665 "," 1489911 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisão para perda com investimentos "," "," "," "
2.02.04.02.05," Outras provisões "," 2522486 "," 1988665 "," 1489911 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido Consolidado "," -18333003 "," -14148750 "," -3519174 "
2.03.01," Capital Social Realizado "," 2290996 "," 2266992 "," 2243215 "
2.03.01.01," Capital Social "," 2290876 "," 2246367 "," 2243215 "
2.03.01.02," Adiantamento para futuro aumento de capital "," 120 "," 20625 "," 0 "
2.03.02," Reservas de Capital "," 1934512 "," 1934705 "," 1913265 "
2.03.02.01," Ágio na Emissão de Ações "," 1927789 "," 1927789 "," 1927789 "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," 111467 "," 112883 "," 93826 "
2.03.02.05," Ações em Tesouraria "," -11959 "," -13182 "," -15565 "
