Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 769016 "," 704842 "," 679474 "
2.01," Passivo Circulante "," 51304 "," 38779 "," 53162 "
2.01.01," Obrigações Sociais e Trabalhistas "," 2628 "," 2506 "," 2301 "
2.01.01.01," Obrigações Sociais "," 2628 "," 2506 "," 2301 "
2.01.01.01.01," Obrigações Sociais e Trabalhistas "," 2628 "," 2506 "," 2301 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 6880 "," 5900 "," 8119 "
2.01.02.01," Fornecedores Nacionais "," 6880 "," 5900 "," 8119 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 1573 "," 1475 "," 2960 "
2.01.03.01," Obrigações Fiscais Federais "," 1573 "," 1475 "," 2960 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 0 "," 0 "," 91 "
2.01.03.01.02," Imposto, taxas e contribuiçoes a recolher "," 1573 "," 1475 "," 2869 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 21944 "," 12805 "," 9684 "
2.01.04.01," Empréstimos e Financiamentos "," 13992 "," 11877 "," 8510 "
2.01.04.01.01," Em Moeda Nacional "," 13992 "," 11877 "," 8510 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 7778 "," 859 "," 1154 "
2.01.04.03," Financiamento por Arrendamento "," 174 "," 69 "," 20 "
2.01.04.03.01," Arrendamentos a pagar "," 174 "," 69 "," 20 "
2.01.05," Outras Obrigações "," 11521 "," 1734 "," 17887 "
2.01.05.01," Passivos com Partes Relacionadas "," 7722 "," 728 "," 12693 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," 740 "," 0 "," 0 "
2.01.05.01.03," Débitos com Controladores "," 6982 "," 728 "," 12693 "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 3799 "," 1006 "," 5194 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 3469 "," 659 "," 4904 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Obrigações com o poder concedente "," 317 "," 297 "," 290 "
2.01.05.02.05," Outras contas a pagar "," 13 "," 50 "," 0 "
2.01.06," Provisões "," 6758 "," 14359 "," 12211 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisão para manutenção "," "," "," "
2.01.06.01.06," Provisão para construção de obras futuras "," "," "," "
2.01.06.02," Outras Provisões "," 6758 "," 14359 "," 12211 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para construção de obras "," 696 "," 138 "," 13 "
2.01.06.02.05," Provisão para manutenção "," 6062 "," 14221 "," 12198 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 503739 "," 463227 "," 425590 "
2.02.01," Empréstimos e Financiamentos "," 476208 "," 438755 "," 405122 "
2.02.01.01," Empréstimos e Financiamentos "," 225918 "," 208254 "," 188034 "
2.02.01.01.01," Em Moeda Nacional "," 225918 "," 208254 "," 188034 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 249930 "," 230044 "," 217079 "
2.02.01.03," Financiamento por Arrendamento "," 360 "," 457 "," 9 "
2.02.01.03.01," Arrendamentos a pagar "," 360 "," 457 "," 9 "
2.02.02," Outras Obrigações "," 6880 "," 5641 "," 4004 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 6880 "," 5641 "," 4004 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
