Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 33884000 "," 28327000 "," 25866000 "
2.01," Passivo Circulante "," 7339000 "," 6942000 "," 8599000 "
2.01.01," Obrigações Sociais e Trabalhistas "," 222000 "," 234000 "," 426000 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 222000 "," 234000 "," 426000 "
2.01.01.02.01," Salários, férias, encargos, prêmios e participações "," 222000 "," 233000 "," 309000 "
2.01.01.02.02," Plano de incentivo ao desligamento voluntário "," 0 "," 0 "," 2000 "
2.01.01.02.03," Programas de desligamento e reestruturação "," 0 "," 1000 "," 115000 "
2.01.02," Fornecedores "," 3310000 "," 2196000 "," 2307000 "
2.01.02.01," Fornecedores Nacionais "," 1583000 "," 1784000 "," 1676000 "
2.01.02.02," Fornecedores Estrangeiros "," 1727000 "," 412000 "," 631000 "
2.01.03," Obrigações Fiscais "," 391000 "," 0 "," 0 "
2.01.03.01," Obrigações Fiscais Federais "," 391000 "," 0 "," 0 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 391000 "," 0 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 1457000 "," 2197000 "," 4341000 "
2.01.04.01," Empréstimos e Financiamentos "," 1339000 "," 2082000 "," 4254000 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 118000 "," 115000 "," 87000 "
2.01.05," Outras Obrigações "," 1851000 "," 2213000 "," 1333000 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 1851000 "," 2213000 "," 1333000 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 132000 "," 942000 "," 525000 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Impostos e contribuições a recolher "," 230000 "," 355000 "," 315000 "
2.01.05.02.05," Imposto de renda e contribuição social "," 0 "," 0 "," 1000 "
2.01.05.02.06," Adiantamentos de clientes "," 613000 "," 666000 "," 285000 "
2.01.05.02.07," Instrumentos financeiros derivativos "," 31000 "," 81000 "," 41000 "
2.01.05.02.08," Financiamento de fornecimento de produtos "," 529000 "," 0 "," 0 "
2.01.05.02.09," Outras contas e despesas a pagar "," 316000 "," 169000 "," 166000 "
2.01.06," Provisões "," 108000 "," 102000 "," 192000 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 108000 "," 102000 "," 192000 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Plano de pensão e saúde "," 108000 "," 102000 "," 192000 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
