Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1165290 "," 1162483 "," 840800 "
2.01," Passivo Circulante "," 107856 "," 46164 "," 206060 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.01.02.01," Obrigações e encargos sobre folha de pagamento "," "," "," "
2.01.02," Fornecedores "," 12512 "," 22062 "," 53880 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 6358 "," 900 "," 422 "
2.01.03.01," Obrigações Fiscais Federais "," 6358 "," 900 "," 422 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 5278 "," 20 "," 0 "
2.01.03.01.02," Impostos a Recolher "," 1080 "," 880 "," 422 "
2.01.03.01.03," Imposto de renda e contribuição social a recolher "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.02.01," Impostos e Contribuições a Recolher "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.03.03.01," Impostos e Contribuições a Recolher "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 87564 "," 21786 "," 151283 "
2.01.04.01," Empréstimos e Financiamentos "," 86102 "," 10942 "," 151283 "
2.01.04.01.01," Em Moeda Nacional "," 86102 "," 10942 "," 151283 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 1462 "," 10844 "," 0 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 1422 "," 1416 "," 475 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 1422 "," 1416 "," 475 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 4 "," 713 "," 0 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Encargos do consumidor "," "," "," "
2.01.05.02.05," Contribuição de iluminação pública "," "," "," "
2.01.05.02.06," Encargos setoriais "," 437 "," 53 "," 0 "
2.01.05.02.07," Participação nos lucros "," "," "," "
2.01.05.02.08," Instrumentos financeiros derivativos "," "," "," "
2.01.05.02.09," Encargos setoriais "," "," "," "
2.01.05.02.10," Outras contas a pagar "," 981 "," 650 "," 475 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
