Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 18597301 "," 15972032 "," 12631624 "
2.01," Passivo Circulante "," 3489342 "," 2629836 "," 2213046 "
2.01.01," Obrigações Sociais e Trabalhistas "," 316615 "," 235800 "," 202731 "
2.01.01.01," Obrigações Sociais "," 100105 "," 23892 "," 37696 "
2.01.01.01.01," Encargos a recolher "," 100105 "," 23892 "," 37696 "
2.01.01.02," Obrigações Trabalhistas "," 216510 "," 211908 "," 165035 "
2.01.01.02.01," Salários a pagar "," 216510 "," 211908 "," 165035 "
2.01.02," Fornecedores "," 213622 "," 159995 "," 133131 "
2.01.02.01," Fornecedores Nacionais "," 213622 "," 159995 "," 133131 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 563440 "," 478439 "," 322070 "
2.01.03.01," Obrigações Fiscais Federais "," 38975 "," 81292 "," 44995 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 524465 "," 397147 "," 277075 "
2.01.04," Empréstimos e Financiamentos "," 540570 "," 306168 "," 390243 "
2.01.04.01," Empréstimos e Financiamentos "," 195878 "," 225077 "," 220683 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 344692 "," 81091 "," 169560 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 309818 "," 210304 "," 162481 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 309818 "," 210304 "," 162481 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 8 "," 0 "," 0 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Arrendamentos "," 57596 "," 38376 "," 33466 "
2.01.05.02.05," Outros passivos "," 252214 "," 171928 "," 129015 "
2.01.05.02.06," Dividendos a pagar "," "," "," "
2.01.06," Provisões "," 1545277 "," 1239130 "," 1002390 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 1545277 "," 1239130 "," 1002390 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões técnicas de operações de assistência à saúde "," 1522844 "," 1176699 "," 945405 "
2.01.06.02.05," Provisões de imposto de renda e contribuição social "," 22433 "," 62431 "," 56985 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 8128017 "," 6301820 "," 4239362 "
2.02.01," Empréstimos e Financiamentos "," 4466173 "," 3182235 "," 1787696 "
2.02.01.01," Empréstimos e Financiamentos "," 1296237 "," 943663 "," 35159 "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 3169936 "," 2238572 "," 1752537 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
