Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 60448490 "," 60917597 "," 21184512 "
2.01," Passivo Circulante "," 13693877 "," 16159586 "," 7518423 "
2.01.01," Obrigações Sociais e Trabalhistas "," 1255348 "," 1340683 "," 560376 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 6770579 "," 6774205 "," 1829756 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 1131887 "," 1226620 "," 709128 "
2.01.03.01," Obrigações Fiscais Federais "," 1131887 "," 1226620 "," 709128 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 365457 "," 441253 "," 388238 "
2.01.03.01.02," Outras Obrigações Fiscais Federais "," 766430 "," 785367 "," 320890 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 945069 "," 3805649 "," 3354355 "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 3360897 "," 2812696 "," 1046158 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 3360897 "," 2812696 "," 1046158 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 180772 "," 0 "," 95873 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Instrumentos financeiros derivativos "," 458492 "," 61201 "," 11806 "
2.01.05.02.05," Arrendamento mercantil "," 1005523 "," 1059661 "," 542088 "
2.01.05.02.06," Outras contas a pagar "," 1716110 "," 1691834 "," 396391 "
2.01.06," Provisões "," 230097 "," 199733 "," 18650 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 230097 "," 199733 "," 18650 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 18187888 "," 17370903 "," 10303744 "
2.02.01," Empréstimos e Financiamentos "," 11771763 "," 10017264 "," 7432019 "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 2710884 "," 2952011 "," 2098046 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 2710884 "," 2952011 "," 2098046 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Obrigações tributárias "," 114797 "," 109454 "," 122569 "
2.02.02.02.04," Arrendamento mercantil "," 2542339 "," 2798794 "," 1975477 "
2.02.02.02.05," Obrigações Sociais e Trabalhistas "," 53748 "," 43763 "," 0 "
2.02.03," Tributos Diferidos "," 994041 "," 1288045 "," 450561 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," 2711200 "," 3113583 "," 323118 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 1768744 "," 2000444 "," 201416 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 942456 "," 1113139 "," 121702 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Outras Provisões "," 942456 "," 1113139 "," 121702 "
2.02.04.02.05," Outras Provisões "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido Consolidado "," 28566725 "," 27387108 "," 3362345 "
2.03.01," Capital Social Realizado "," 12481683 "," 12377999 "," 1485436 "
2.03.02," Reservas de Capital "," 10327462 "," 11040468 "," 1210924 "
2.03.02.01," Ágio na Emissão de Ações "," 10324468 "," 10974664 "," 1096398 "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," 59000 "," 59000 "," 206592 "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," -151342 "," -11667 "," 0 "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Capital adicional integralizado "," 187402 "," 110537 "," 0 "
2.03.02.08," Ágio / deságio em transações de capital "," -92066 "," -92066 "," -92066 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 1073900 "," 120166 "," -149020 "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," 1073900 "," 6864 "," -149020 "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," 0 "," 113302 "," 0 "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.04.10," Ágio / deságio em transações de capital "," "," "," "
2.03.04.11," Ágio / deságio em transações de capital "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," 0 "," -759937 "," 0 "
2.03.06," Ajustes de Avaliação Patrimonial "," 4662525 "," 4585631 "," 815005 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 21155 "," 22781 "," 0 "
