Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 52480620 "," 45657044 "," 26599665 "
2.01," Passivo Circulante "," 5149028 "," 3861050 "," 2692841 "
2.01.01," Obrigações Sociais e Trabalhistas "," 794061 "," 671164 "," 510293 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 990942 "," 846883 "," 498066 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 592127 "," 364994 "," 313799 "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 1554588 "," 662956 "," 584960 "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 1217310 "," 1315053 "," 785723 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 1217310 "," 1315053 "," 785723 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 64551 "," 346600 "," 287394 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contas a Pagar por Aquisições "," 223957 "," 58367 "," 163063 "
2.01.05.02.05," Ganho Diferido na Alienação de Imóveis "," 3920 "," 3920 "," 3920 "
2.01.05.02.06," Instrumentos Financeiros Derivativos "," 469249 "," 324510 "," 92905 "
2.01.05.02.07," Outros Passivos "," 108913 "," 166184 "," 67367 "
2.01.05.02.08," Arrendamento Mercantil "," 346720 "," 415472 "," 171074 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 32653653 "," 27793812 "," 18464824 "
2.02.01," Empréstimos e Financiamentos "," 26074748 "," 23275581 "," 14821417 "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 5641061 "," 3872412 "," 3114350 "
2.02.02.01," Passivos com Partes Relacionadas "," 2199 "," 42794 "," 415 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 5638862 "," 3829618 "," 3113935 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Obrigações Fiscais "," 239835 "," 228061 "," 228685 "
2.02.02.02.04," Contas a Pagar por Aquisições "," 382370 "," 456247 "," 299993 "
2.02.02.02.05," Ganho Diferido na Alienação de Imóveis "," 61000 "," 64460 "," 68370 "
2.02.02.02.06," Outros passivos "," 1012745 "," 170545 "," 160789 "
2.02.02.02.07," Arrendamento Mercantil "," 3156746 "," 2822337 "," 2356098 "
2.02.02.02.08," Instrumentos Financeiros Derivativos "," 786166 "," 87968 "," 0 "
2.02.03," Tributos Diferidos "," 592976 "," 325956 "," 301548 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 592976 "," 325956 "," 301548 "
2.02.04," Provisões "," 344868 "," 319863 "," 227509 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 344868 "," 319863 "," 227509 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido Consolidado "," 14677939 "," 14002182 "," 5442000 "
2.03.01," Capital Social Realizado "," 7322485 "," 6472948 "," 867776 "
2.03.02," Reservas de Capital "," 4340446 "," 4421252 "," 1874871 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," -139282 "," -263384 "," -474462 "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," 4224 "," 4224 "," 4224 "
2.03.02.07," Reservas de Capital "," 4475504 "," 4680412 "," 2345109 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 1600180 "," 2789480 "," 2467483 "
2.03.04.01," Reserva Legal "," "," "," "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
