Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2947130 "," 2363425 "," 2030413 "
2.01," Passivo Circulante "," 977127 "," 717276 "," 620868 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.01.02.01," Folha de pagamento "," "," "," "
2.01.02," Fornecedores "," 285007 "," 256282 "," 206620 "
2.01.02.01," Fornecedores Nacionais "," 285007 "," 256282 "," 206620 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Obrigações fiscais federais "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 386891 "," 217503 "," 158587 "
2.01.04.01," Empréstimos e Financiamentos "," 279764 "," 178233 "," 119594 "
2.01.04.01.01," Em Moeda Nacional "," 17530 "," 40000 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," 262234 "," 138233 "," 119594 "
2.01.04.02," Debêntures "," 107127 "," 39270 "," 38993 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.04.03.01," Em Moeda Nacional "," "," "," "
2.01.04.03.02," Em Moeda Estrangeira "," "," "," "
2.01.05," Outras Obrigações "," 305229 "," 243491 "," 255661 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 305229 "," 243491 "," 255661 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 262 "," 7253 "," 136 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Impostos e contribuições sociais "," 99799 "," 77115 "," 76690 "
2.01.05.02.05," Contribuição de iluminação pública "," 8075 "," 7257 "," 7885 "
2.01.05.02.06," Bandeiras tarifárias CCRBT "," "," "," "
2.01.05.02.07," Encargos setoriais "," 30287 "," 23621 "," 34418 "
2.01.05.02.08," Beneficios pós emprego "," 4041 "," 5304 "," 7045 "
2.01.05.02.09," Obrigações estimadas "," 8019 "," 7533 "," 7107 "
2.01.05.02.10," Passivos financeiros setoriais "," 40052 "," 48787 "," 75324 "
2.01.05.02.11," Incorporação de redes "," "," "," "
2.01.05.02.12," Encargos de dívidas "," 4029 "," 1285 "," 2020 "
2.01.05.02.13," Instrumentos financeiros derivativos "," 33097 "," 4874 "," 8503 "
2.01.05.02.14," Parcelamento de impostos "," "," "," "
