Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 47968194 "," 25562248 "
2.01," Passivo Circulante "," 7137334 "," 5524858 "
2.01.01," Obrigações Sociais e Trabalhistas "," 408154 "," 270006 "
2.01.01.01," Obrigações Sociais "," 408154 "," 270006 "
2.01.01.01.01," Obrigações sociais e trabalhistas "," 408154 "," 270006 "
2.01.01.02," Obrigações Trabalhistas "," "," "
2.01.02," Fornecedores "," 3549800 "," 2365065 "
2.01.02.01," Fornecedores Nacionais "," 3549800 "," 2365065 "
2.01.02.01.01," Fornecedores "," 3374264 "," 2135298 "
2.01.02.01.02," Floor plan "," 175536 "," 71844 "
2.01.02.01.03," Risco sacado a pagar - montadoras "," 0 "," 157923 "
2.01.02.02," Fornecedores Estrangeiros "," "," "
2.01.03," Obrigações Fiscais "," 266078 "," 121970 "
2.01.03.01," Obrigações Fiscais Federais "," 266078 "," 121970 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "
2.01.03.01.02," Imposto de renda e contribuição social a recolher "," 45865 "," 18679 "
2.01.03.01.03," Tributos a recolher "," 220213 "," 103291 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "
2.01.04," Empréstimos e Financiamentos "," 1743831 "," 2110048 "
2.01.04.01," Empréstimos e Financiamentos "," 765352 "," 1284761 "
2.01.04.01.01," Em Moeda Nacional "," 765352 "," 1284761 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "
2.01.04.02," Debêntures "," 661877 "," 592595 "
2.01.04.02.01," Debêntures "," 661877 "," 592595 "
2.01.04.03," Financiamento por Arrendamento "," 316602 "," 232692 "
2.01.04.03.01," Arrendamentos a pagar a instituições financeiras "," 118833 "," 131092 "
2.01.04.03.02," Arrendamentos a pagar por direito de uso "," 197769 "," 101600 "
2.01.05," Outras Obrigações "," 1169471 "," 657769 "
2.01.05.01," Passivos com Partes Relacionadas "," 453 "," 550 "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 453 "," 550 "
2.01.05.02," Outros "," 1169018 "," 657219 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 263280 "," 97856 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Cessão de direitos creditórios "," 6043 "," 6043 "
2.01.05.02.05," Adiantamentos de clientes "," 207720 "," 177170 "
2.01.05.02.06," Outras contas a pagar "," 420724 "," 376150 "
2.01.05.02.07," Instrumentos financeiros derivativos "," 271251 "," 0 "
2.01.06," Provisões "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.01.07.02.01," Passivos mantidos para distribuição aos proprietários "," "," "
2.02," Passivo Não Circulante "," 35006600 "," 16813540 "
2.02.01," Empréstimos e Financiamentos "," 32633677 "," 15588087 "
2.02.01.01," Empréstimos e Financiamentos "," 17962499 "," 9046647 "
2.02.01.01.01," Em Moeda Nacional "," 17962499 "," 9046647 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "
2.02.01.02," Debêntures "," 13874041 "," 5968161 "
2.02.01.02.01," Debêntures "," 13874041 "," 5968161 "
2.02.01.03," Financiamento por Arrendamento "," 797137 "," 573279 "
2.02.01.03.01," Arrendamentos a pagar a instituições financeiras "," 137126 "," 182314 "
2.02.01.03.02," Arrendamentos a pagar por direito de uso "," 660011 "," 390965 "
2.02.02," Outras Obrigações "," 950802 "," 406129 "
2.02.02.01," Passivos com Partes Relacionadas "," 528 "," 528 "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," 528 "," 528 "
2.02.02.02," Outros "," 950274 "," 405601 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Cessão de direitos creditórios "," 0 "," 6043 "
2.02.02.02.04," Outras contas a pagar "," 436250 "," 399558 "
2.02.02.02.05," Instrumentos financeiros derivativos "," 409000 "," 0 "
2.02.02.02.06," Aterro sanitário – custo de encerramento "," 105024 "," 0 "
2.02.03," Tributos Diferidos "," 1065577 "," 637459 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 1065577 "," 637459 "
2.02.03.01.01," Tributos a recolher "," 26995 "," 15992 "
2.02.03.01.02," Imposto de renda e contribuição social diferidos "," 1038582 "," 621467 "
