Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 10008414 "," 2302486 "," 1255854 "
2.01," Passivo Circulante "," 1264676 "," 502109 "," 618559 "
2.01.01," Obrigações Sociais e Trabalhistas "," 125426 "," 57481 "," 51389 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 125426 "," 57481 "," 51389 "
2.01.02," Fornecedores "," 586248 "," 188721 "," 170541 "
2.01.02.01," Fornecedores Nacionais "," 470430 "," 157401 "," 144629 "
2.01.02.01.01," Aluguéis a pagar "," 20282 "," 14466 "," 16128 "
2.01.02.01.02," Fornecedores nacionais "," 336054 "," 104126 "," 94528 "
2.01.02.01.03," Obrigações Decorrentes de compra de mercadorias e serviços "," 119953 "," 38809 "," 33973 "
2.01.02.01.04," Ajuste a Valor presente "," -5859 "," 0 "," 0 "
2.01.02.02," Fornecedores Estrangeiros "," 115818 "," 31320 "," 25912 "
2.01.03," Obrigações Fiscais "," 64556 "," 21266 "," 18360 "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 266731 "," 205513 "," 99363 "
2.01.04.01," Empréstimos e Financiamentos "," 89736 "," 102054 "," 35542 "
2.01.04.01.01," Em Moeda Nacional "," 3068 "," 102054 "," 35542 "
2.01.04.01.02," Em Moeda Estrangeira "," 86668 "," 0 "," 0 "
2.01.04.02," Debêntures "," 104612 "," 49241 "," 18045 "
2.01.04.03," Financiamento por Arrendamento "," 72383 "," 54218 "," 45776 "
2.01.05," Outras Obrigações "," 221715 "," 29128 "," 278906 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 221715 "," 29128 "," 278906 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 72037 "," 0 "," 201821 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outros passivos "," 126093 "," 29128 "," 11919 "
2.01.05.02.05," Contas a pagar combinação de negócios "," 22326 "," 0 "," 65166 "
2.01.05.02.06," Derivativos "," 1259 "," 0 "," 0 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1597584 "," 241243 "," 292667 "
2.02.01," Empréstimos e Financiamentos "," 793270 "," 217285 "," 263539 "
2.02.01.01," Empréstimos e Financiamentos "," 100000 "," 7469 "," 0 "
2.02.01.01.01," Em Moeda Nacional "," 100000 "," 7469 "," 0 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 490363 "," 98482 "," 155816 "
2.02.01.03," Financiamento por Arrendamento "," 202907 "," 111334 "," 107723 "
2.02.02," Outras Obrigações "," 165358 "," 15690 "," 24163 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
