Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1951410 "," 1790464 "," 1224418 "
2.01," Passivo Circulante "," 665681 "," 503174 "," 482461 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 41916 "," 15697 "," 18195 "
2.01.02.01," Fornecedores Nacionais "," 41916 "," 15697 "," 18195 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 19034 "," 15240 "," 15864 "
2.01.03.01," Obrigações Fiscais Federais "," 19034 "," 15240 "," 15864 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Impostos e contribuições correntes "," 10732 "," 7714 "," 6721 "
2.01.03.01.03," Impostos e contribuições diferidos "," 8302 "," 7526 "," 9143 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 6824 "," 56194 "," 88229 "
2.01.04.01," Empréstimos e Financiamentos "," 6824 "," 56194 "," 88229 "
2.01.04.01.01," Em Moeda Nacional "," 6824 "," 56194 "," 88229 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.04.03.01," Arrendamento mercantil "," "," "," "
2.01.05," Outras Obrigações "," 532121 "," 363668 "," 313888 "
2.01.05.01," Passivos com Partes Relacionadas "," 35984 "," 29289 "," 118314 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 35984 "," 29289 "," 118314 "
2.01.05.02," Outros "," 496137 "," 334379 "," 195574 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contas a pagar por aquisição de imóveis "," 50691 "," 48853 "," 39321 "
2.01.05.02.05," Outras contas a pagar "," 30565 "," 17415 "," 20854 "
2.01.05.02.06," Adiantamento de clientes "," 414881 "," 266816 "," 135399 "
2.01.05.02.07," Credores por imóveis compromissados "," "," "," "
2.01.05.02.08," Dividendos propostos "," 0 "," 1295 "," 0 "
2.01.06," Provisões "," 65786 "," 52375 "," 46285 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 65786 "," 52375 "," 46285 "
2.01.06.02.01," Provisões para Garantias "," 65786 "," 52375 "," 46285 "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 86707 "," 88616 "," 241596 "
2.02.01," Empréstimos e Financiamentos "," 5610 "," 23039 "," 167025 "
2.02.01.01," Empréstimos e Financiamentos "," 5610 "," 23039 "," 167025 "
2.02.01.01.01," Em Moeda Nacional "," 5610 "," 23039 "," 167025 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.01.03.01," Arrendamento mercantil "," "," "," "
2.02.02," Outras Obrigações "," 41028 "," 24097 "," 35754 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
