Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 4528962 "," 3715984 "," 3178916 "
2.01," Passivo Circulante "," 2429993 "," 2021812 "," 1626822 "
2.01.01," Obrigações Sociais e Trabalhistas "," 55424 "," 56433 "," 55757 "
2.01.01.01," Obrigações Sociais "," 21304 "," 21779 "," 23341 "
2.01.01.01.01," Obrigações tributárias "," 21304 "," 21779 "," 23341 "
2.01.01.02," Obrigações Trabalhistas "," 34120 "," 34654 "," 32416 "
2.01.02," Fornecedores "," 2124790 "," 1783382 "," 1368033 "
2.01.02.01," Fornecedores Nacionais "," 2103200 "," 1775621 "," 1356888 "
2.01.02.01.01," Fornecedores "," 2042592 "," 1753068 "," 1334888 "
2.01.02.01.03," Obrigações contratuais com clientes "," 60608 "," 22553 "," 22000 "
2.01.02.02," Fornecedores Estrangeiros "," 21590 "," 7761 "," 11145 "
2.01.03," Obrigações Fiscais "," "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 165234 "," 98935 "," 78218 "
2.01.04.01," Empréstimos e Financiamentos "," 49415 "," 19917 "," 0 "
2.01.04.01.01," Em Moeda Nacional "," 49415 "," 19917 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 115819 "," 79018 "," 78218 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 84545 "," 83062 "," 124814 "
2.01.05.01," Passivos com Partes Relacionadas "," 0 "," 21047 "," 45346 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 0 "," 21047 "," 45346 "
2.01.05.02," Outros "," 84545 "," 62015 "," 79468 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 68 "," 6705 "," 937 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Arrendamento mercantil "," 24947 "," 17294 "," 13474 "
2.01.05.02.05," Adiantamento de clientes "," 48501 "," 26479 "," 26311 "
