Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 654859 "," 522666 "," 458695 "
2.01," Passivo Circulante "," 161362 "," 77583 "," 26590 "
2.01.01," Obrigações Sociais e Trabalhistas "," 6058 "," 3166 "," 2238 "
2.01.01.01," Obrigações Sociais "," 1139 "," 789 "," 541 "
2.01.01.02," Obrigações Trabalhistas "," 4919 "," 2377 "," 1697 "
2.01.02," Fornecedores "," 7472 "," 2434 "," 1728 "
2.01.02.01," Fornecedores Nacionais "," 7472 "," 2434 "," 1728 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 2532 "," 1152 "," 1166 "
2.01.03.01," Obrigações Fiscais Federais "," 2465 "," 1098 "," 1133 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 1919 "," 831 "," 945 "
2.01.03.01.02," Outros Impostos Federais "," 546 "," 267 "," 188 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," 67 "," 54 "," 33 "
2.01.04," Empréstimos e Financiamentos "," 22474 "," 21754 "," 1667 "
2.01.04.01," Empréstimos e Financiamentos "," 1521 "," 1515 "," 1593 "
2.01.04.01.01," Em Moeda Nacional "," 1521 "," 1515 "," 1593 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 20953 "," 20239 "," 74 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 122264 "," 48087 "," 19630 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 122264 "," 48087 "," 19630 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 6254 "," 2735 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contas a Pagar por Aquisição de Terrenos "," 86559 "," 33139 "," 11209 "
2.01.05.02.05," Adiantamentos de Clientes "," 5281 "," 875 "," 4529 "
2.01.05.02.06," Outros Valores a Pagar "," 20127 "," 8126 "," 1666 "
2.01.05.02.07," Tributos Diferidos "," 4043 "," 3212 "," 2226 "
2.01.06," Provisões "," 562 "," 990 "," 161 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 562 "," 990 "," 161 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
