Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2323794 "," 2450385 "," 2486310 "
2.01," Passivo Circulante "," 1312903 "," 1186182 "," 1268550 "
2.01.01," Obrigações Sociais e Trabalhistas "," 30420 "," 26437 "," 27465 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 30420 "," 26437 "," 27465 "
2.01.02," Fornecedores "," 793833 "," 711221 "," 849129 "
2.01.02.01," Fornecedores Nacionais "," 793833 "," 711221 "," 849129 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 28515 "," 26142 "," 19289 "
2.01.03.01," Obrigações Fiscais Federais "," 28515 "," 26142 "," 19289 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Obrigações fiscais "," 28515 "," 26142 "," 19289 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 229896 "," 244779 "," 148701 "
2.01.04.01," Empréstimos e Financiamentos "," 229896 "," 244779 "," 148701 "
2.01.04.01.01," Em Moeda Nacional "," 229896 "," 244779 "," 148701 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 230239 "," 177603 "," 223966 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 230239 "," 177603 "," 223966 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 11957 "," 0 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Empréstimos com partes relacionadas "," 107076 "," 82833 "," 134355 "
2.01.05.02.05," Passivos de arrendamento "," 82264 "," 64181 "," 54167 "
2.01.05.02.06," Receita diferida "," 2039 "," 2111 "," 3573 "
2.01.05.02.07," Outros passivos "," 26903 "," 28478 "," 31871 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 961944 "," 1109786 "," 1037399 "
2.02.01," Empréstimos e Financiamentos "," 458476 "," 583213 "," 494659 "
2.02.01.01," Empréstimos e Financiamentos "," 458476 "," 583213 "," 494659 "
2.02.01.01.01," Em Moeda Nacional "," 458476 "," 583213 "," 494659 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 462722 "," 478650 "," 494612 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 462722 "," 478650 "," 494612 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Passivo de arrendamento "," 462722 "," 478650 "," 478981 "
2.02.02.02.04," Empréstimos com partes relacionadas "," 0 "," 0 "," 15631 "
2.02.03," Tributos Diferidos "," 17453 "," 18309 "," 26314 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 17453 "," 18309 "," 26314 "
2.02.04," Provisões "," 23293 "," 29614 "," 21814 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 23293 "," 29614 "," 21814 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisão para desmantelamento "," 6092 "," 5336 "," 4858 "
2.02.04.02.05," Provisões para riscos tributários, cíveis e trabalhistas "," 8634 "," 9780 "," 9733 "
2.02.04.02.06," Obrigações fiscais "," 8567 "," 14498 "," 7223 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 48947 "," 154417 "," 180361 "
2.03.01," Capital Social Realizado "," 8300 "," 8300 "," 8300 "
2.03.02," Reservas de Capital "," 6 "," 6 "," 6 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Reserva de Capital "," 6 "," 6 "," 6 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 40641 "," 146111 "," 0 "
2.03.04.01," Reserva Legal "," 1660 "," 0 "," 0 "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.04.10," Reserva para investimentos "," 38981 "," 3111 "," 0 "
2.03.04.11," Reserva especial de dividendos "," 0 "," 143000 "," 0 "
2.03.05," Lucros/Prejuízos Acumulados "," 0 "," 0 "," 172055 "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
