Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6774910 "," 4260865 "," 1387713 "
2.01," Passivo Circulante "," 4860330 "," 3110584 "," 956014 "
2.01.01," Obrigações Sociais e Trabalhistas "," 83371 "," 45202 "," 13021 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 3199417 "," 1808425 "," 509356 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 1045260 "," 841776 "," 247975 "
2.01.04.01," Empréstimos e Financiamentos "," 1010227 "," 816644 "," 232852 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 35033 "," 25132 "," 15123 "
2.01.05," Outras Obrigações "," 532282 "," 415181 "," 185662 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 532282 "," 415181 "," 185662 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 28105 "," 19354 "," 2794 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outras contas a pagar "," 11495 "," 12087 "," 0 "
2.01.05.02.05," Obrigação por aquisição de investimentos "," "," "," "
2.01.05.02.06," Instrumentos financeiros derivativos "," 2040 "," 4194 "," 484 "
2.01.05.02.07," Contratos a termo "," 0 "," 0 "," 49971 "
2.01.05.02.08," Obrigações por cessão de crédito "," 209957 "," 269307 "," 53341 "
2.01.05.02.09," Impostos e contribuições a recolher "," 7872 "," 7379 "," 1275 "
2.01.05.02.10," Adiantamentos de clientes "," 256656 "," 99841 "," 71374 "
