Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6897190 "," 4595219 "," 2090943 "
2.01," Passivo Circulante "," 2124284 "," 2064600 "," 886494 "
2.01.01," Obrigações Sociais e Trabalhistas "," 72860 "," 77494 "," 72054 "
2.01.01.01," Obrigações Sociais "," 72860 "," 77494 "," 72054 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 1153461 "," 955882 "," 477951 "
2.01.02.01," Fornecedores Nacionais "," 1133393 "," 953095 "," 477085 "
2.01.02.02," Fornecedores Estrangeiros "," 20068 "," 2787 "," 866 "
2.01.03," Obrigações Fiscais "," 59862 "," 60327 "," 48059 "
2.01.03.01," Obrigações Fiscais Federais "," 26046 "," 6049 "," 22871 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 12278 "," 6049 "," 22871 "
2.01.03.01.02," Pis e Cofins a Recolher "," 4340 "," 0 "," 0 "
2.01.03.01.03," Outros "," 9428 "," 0 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," 33760 "," 42331 "," 20894 "
2.01.03.03," Obrigações Fiscais Municipais "," 56 "," 11947 "," 4294 "
2.01.03.03.02," Outros "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 249904 "," 734460 "," 224589 "
2.01.04.01," Empréstimos e Financiamentos "," 174878 "," 599285 "," 84055 "
2.01.04.01.01," Em Moeda Nacional "," 158744 "," 442013 "," 84055 "
2.01.04.01.02," Em Moeda Estrangeira "," 16134 "," 157272 "," 0 "
2.01.04.02," Debêntures "," 75026 "," 135175 "," 140534 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 584575 "," 233886 "," 63841 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 584575 "," 233886 "," 63841 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 124313 "," 49081 "," 8856 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de clientes "," 8702 "," 14925 "," 729 "
2.01.05.02.05," Outros "," 96219 "," 51459 "," 15023 "
2.01.05.02.06," Fornecedores - reverse factoring "," 139868 "," 64763 "," 9891 "
2.01.05.02.07," Tributos a recolher parcelados "," 3237 "," 2873 "," 0 "
2.01.05.02.09," Obrigações com ex-acionistas da subsidiária "," 97661 "," 0 "," 0 "
2.01.05.02.10," Passivo de arrendamento "," 51246 "," 50785 "," 29342 "
2.01.05.02.11," Obrigações por aquisição de investimento "," 63329 "," 0 "," 0 "
2.01.06," Provisões "," 3622 "," 2551 "," 0 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 3622 "," 2551 "," 0 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 3622 "," 2551 "," 0 "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 2621889 "," 1329591 "," 822596 "
2.02.01," Empréstimos e Financiamentos "," 1877294 "," 411373 "," 469907 "
2.02.01.01," Empréstimos e Financiamentos "," 366348 "," 164362 "," 159774 "
2.02.01.01.01," Em Moeda Nacional "," 81682 "," 164362 "," 159774 "
2.02.01.01.02," Em Moeda Estrangeira "," 284666 "," 0 "," 0 "
2.02.01.02," Debêntures "," 1510946 "," 247011 "," 310133 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 651260 "," 552657 "," 282665 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 651260 "," 552657 "," 282665 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
