Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6942867 "," 4405751 "," 3069698 "
2.01," Passivos Financeiros ao Valor Justo através do Resultado "," 180652 "," 16650 "," 46923 "
2.01.01," Derivativos "," 180652 "," 16650 "," 46923 "
2.02," Outros Passivos Financeiros Designados ao Valor Justo através do Resultado "," "," "," "
2.03," Passivos Financeiros ao Custo Amortizado "," 5273186 "," 3728786 "," 2591836 "
2.03.01," Depósitos "," 3352291 "," 2092060 "," 1399906 "
2.03.02," Captações no mercado aberto "," 1679745 "," 1412003 "," 860293 "
2.03.03," Outros Passivos Financeiros "," 239495 "," 224723 "," 331637 "
2.03.04," Empréstimos em moeda estrangeira "," "," "," "
2.03.05," Obrigações por empréstimos (novo) "," 1655 "," 0 "," 0 "
2.04," Provisões "," 2676 "," 1460 "," 2074 "
2.04.01," Provisões e Passivos Contingentes "," 2676 "," 1460 "," 2074 "
2.05," Passivos Fiscais "," 82744 "," 24326 "," 17226 "
2.05.01," Imposto de Renda e Contribuição Social - Correntes "," 27189 "," 23620 "," 16085 "
2.05.02," Imposto de Renda e Contribuição Social - Diferidas "," 55272 "," 617 "," 1076 "
2.05.03," Outras Obrigações Fiscais "," 283 "," 89 "," 65 "
2.06," Outros Passivos "," 78203 "," 36437 "," 16794 "
2.07," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," 51794 "," 11839 "," 18741 "
2.07.01," Passivos sobre Ativos Não Correntes a Venda "," 51794 "," 11839 "," 18741 "
2.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.08," Patrimônio Líquido "," 1273612 "," 586253 "," 376104 "
2.08.01," Capital Social Realizado "," 1074966 "," 291908 "," 345668 "
2.08.02," Reservas de Capital "," 198391 "," 228974 "," 0 "
2.08.02.01," Ágio na Emissão de Ações "," 198391 "," 228974 "," 0 "
2.08.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.08.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.08.02.04," Opções Outorgadas "," "," "," "
2.08.02.05," Ações em Tesouraria "," "," "," "
2.08.03," Reservas de Reavaliação "," "," "," "
2.08.04," Reservas de Lucros "," 751 "," 65036 "," 30247 "
2.08.04.01," Reserva Legal "," "," "," "
2.08.04.02," Reserva Estatutária "," "," "," "
2.08.04.03," Reserva para Contingências "," "," "," "
2.08.04.04," Reserva de Lucros a Realizar "," "," "," "
2.08.04.05," Reserva de Retenção de Lucros "," "," "," "
2.08.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.08.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.08.04.08," Dividendo Adicional Proposto "," "," "," "
2.08.04.09," Ações em Tesouraria "," -134453 "," -6349 "," -10755 "
2.08.04.10," Reserva de lucros "," 135204 "," 71385 "," 41002 "
2.08.04.11," Reserva de lucros a integralizar "," "," "," "
2.08.05," Lucros/Prejuízos Acumulados "," "," "," "
2.08.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.08.07," Ajustes Acumulados de Conversão "," "," "," "
2.08.08," Outros Resultados Abrangentes "," -496 "," 335 "," 189 "
2.08.09," Participação dos Acionistas Não Controladores "," "," "," "
