Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 4715393 "," 2080173 "," 1863920 "
2.01," Passivo Circulante "," 1244530 "," 354561 "," 142193 "
2.01.01," Obrigações Sociais e Trabalhistas "," 30563 "," 16065 "," 13839 "
2.01.01.01," Obrigações Sociais "," 30563 "," 16065 "," 13839 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 98708 "," 80089 "," 42515 "
2.01.02.01," Fornecedores Nacionais "," 88514 "," 75059 "," 41397 "
2.01.02.02," Fornecedores Estrangeiros "," 10194 "," 5030 "," 1118 "
2.01.03," Obrigações Fiscais "," 66995 "," 22762 "," 16641 "
2.01.03.01," Obrigações Fiscais Federais "," 66995 "," 22762 "," 16641 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Tributos a recolher "," 66995 "," 22762 "," 16641 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 281762 "," 212931 "," 35320 "
2.01.04.01," Empréstimos e Financiamentos "," 281762 "," 212931 "," 35320 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 766083 "," 16413 "," 29389 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 766083 "," 16413 "," 29389 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 0 "," 2 "," 12896 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 40566 "," 0 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Valores a Pagar de Arrendamentos "," 10486 "," 15241 "," 16103 "
2.01.05.02.05," Outras contas a pagar "," 30588 "," 1170 "," 390 "
2.01.05.02.06," Instrumentos Financeiros Derivativos "," 231125 "," 0 "," 0 "
2.01.05.02.07," Valor a pagar por Aquisições "," 453318 "," 0 "," 0 "
2.01.06," Provisões "," 419 "," 6301 "," 4489 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 419 "," 6301 "," 4489 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para fechamento de poços "," 419 "," 6301 "," 4489 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1599050 "," 745416 "," 759930 "
2.02.01," Empréstimos e Financiamentos "," 459529 "," 681109 "," 708699 "
2.02.01.01," Empréstimos e Financiamentos "," 459529 "," 681109 "," 708699 "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 1045711 "," 25532 "," 17146 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 1045711 "," 25532 "," 17146 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Valores a Pagar de Arrendamentos "," 2421 "," 7646 "," 11067 "
2.02.02.02.04," Instrumentos Financeiros Derivativos "," 233559 "," 17886 "," 6079 "
2.02.02.02.05," Valores a pagar por aquisições "," 809731 "," 0 "," 0 "
2.02.03," Tributos Diferidos "," 5672 "," 0 "," 5815 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 5672 "," 0 "," 5815 "
2.02.03.01.01," Imposto de Renda e Contribuição Social Diferidos "," 5672 "," 0 "," 5815 "
2.02.04," Provisões "," 88138 "," 38775 "," 28270 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 3443 "," 4965 "," 2777 "
2.02.04.01.01," Provisões Fiscais "," 0 "," 1371 "," 2777 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 3443 "," 3594 "," 0 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 84695 "," 33810 "," 25493 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisão para abandono de poço "," 84695 "," 33810 "," 25493 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
