Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1353262 "," 1244685 "," 1121277 "
2.01," Passivo Circulante "," 437593 "," 436127 "," 277442 "
2.01.01," Obrigações Sociais e Trabalhistas "," 76323 "," 56827 "," 53403 "
2.01.01.01," Obrigações Sociais "," 14940 "," 0 "," 0 "
2.01.01.02," Obrigações Trabalhistas "," 61383 "," 56827 "," 53403 "
2.01.02," Fornecedores "," 121367 "," 104797 "," 95301 "
2.01.02.01," Fornecedores Nacionais "," 121367 "," 30834 "," 38430 "
2.01.02.02," Fornecedores Estrangeiros "," 0 "," 73963 "," 56871 "
2.01.03," Obrigações Fiscais "," 0 "," 10269 "," 7400 "
2.01.03.01," Obrigações Fiscais Federais "," 0 "," 4003 "," 3801 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 0 "," 4003 "," 3801 "
2.01.03.02," Obrigações Fiscais Estaduais "," 0 "," 6229 "," 3573 "
2.01.03.02.01," Obrigações Fiscais Estaduais "," 0 "," 6229 "," 3573 "
2.01.03.03," Obrigações Fiscais Municipais "," 0 "," 37 "," 26 "
2.01.04," Empréstimos e Financiamentos "," 214942 "," 221748 "," 104523 "
2.01.04.01," Empréstimos e Financiamentos "," 213555 "," 221748 "," 104523 "
2.01.04.01.01," Em Moeda Nacional "," 213555 "," 221748 "," 104523 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 1387 "," 0 "," 0 "
2.01.04.03.01," Instrumentos financeiros derivados "," 1387 "," 0 "," 0 "
2.01.05," Outras Obrigações "," 24961 "," 42486 "," 16815 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 24961 "," 42486 "," 16815 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 0 "," 4924 "," 2462 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 0 "," 16078 "," 0 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," 24325 "," 20712 "," 14008 "
2.01.05.02.04," Programa Fomentar "," 636 "," 772 "," 345 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 245909 "," 265296 "," 424232 "
2.02.01," Empréstimos e Financiamentos "," 190517 "," 201557 "," 375082 "
2.02.01.01," Empréstimos e Financiamentos "," 190517 "," 201557 "," 375082 "
2.02.01.01.01," Em Moeda Nacional "," 190517 "," 201557 "," 375082 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 1150 "," 22497 "," 14085 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.02," Débitos com Controladas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 1150 "," 22497 "," 14085 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," 0 "," 5713 "," 1091 "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," 0 "," 16784 "," 12994 "
2.02.02.02.03," Programa Fomentar "," 1150 "," 0 "," 0 "
2.02.03," Tributos Diferidos "," 149 "," 144 "," 167 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 149 "," 144 "," 167 "
2.02.03.01.01," Obrigações Tributárias "," 149 "," 144 "," 167 "
2.02.03.01.02," Obrigações Trabalhistas "," "," "," "
2.02.04," Provisões "," 54093 "," 41098 "," 34898 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 39810 "," 41098 "," 34898 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 39810 "," 39857 "," 33658 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," 0 "," 1241 "," 1240 "
2.02.04.02," Outras Provisões "," 14283 "," 0 "," 0 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 669760 "," 543262 "," 419603 "
2.03.01," Capital Social Realizado "," 68808 "," 68808 "," 68808 "
2.03.01.01," Capital Social "," 68808 "," 68808 "," 68808 "
2.03.02," Reservas de Capital "," 22563 "," 23879 "," 25522 "
2.03.02.01," Ágio na Emissão de Ações "," 22563 "," 23879 "," 25522 "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 572497 "," 450575 "," 325273 "
2.03.04.01," Reserva Legal "," 2676 "," 2676 "," 2676 "
2.03.04.02," Reserva Estatutária "," 0 "," 442340 "," 317038 "
2.03.04.03," Reserva para Contingências "," 0 "," 5559 "," 5559 "
2.03.04.04," Reserva de Lucros a Realizar "," 569821 "," 0 "," 0 "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," 5892 "," 0 "," 0 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
