Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 5406969 "," 4021184 "," 2767569 "
2.01," Passivo Circulante "," 2108324 "," 1710270 "," 893844 "
2.01.01," Obrigações Sociais e Trabalhistas "," "," "," "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 784346 "," 648495 "," 383284 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 91912 "," 12442 "," 4274 "
2.01.03.01," Obrigações Fiscais Federais "," 91912 "," 12442 "," 4274 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 91912 "," 12442 "," 4274 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 572632 "," 465560 "," 128946 "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 641803 "," 576360 "," 367330 "
2.01.05.01," Passivos com Partes Relacionadas "," 16076 "," 68 "," 72 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 625727 "," 576292 "," 367258 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 248536 "," 215490 "," 43214 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Risco Sacado "," 44296 "," 67070 "," 77680 "
2.01.05.02.05," Passivos de Arrendamento "," 10105 "," 7083 "," 9269 "
2.01.05.02.06," Derivativos "," 1476 "," 7636 "," 1858 "
2.01.05.02.07," Salários e encargos "," 64567 "," 57661 "," 46940 "
2.01.05.02.08," Obrigações tributárias "," 83986 "," 89317 "," 59176 "
2.01.05.02.09," Gratificações e participações "," 84232 "," 42105 "," 28981 "
2.01.05.02.10," Parcelamento de impostos "," 1971 "," 2421 "," 9810 "
2.01.05.02.11," Outras contas a pagar "," 86558 "," 87509 "," 90330 "
2.01.06," Provisões "," 17631 "," 7413 "," 10010 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 17631 "," 7413 "," 10010 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para contingências "," 17631 "," 7413 "," 10010 "
2.01.06.02.05," Provisão para gratificações e participações "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 1636048 "," 919778 "," 584061 "
2.02.01," Empréstimos e Financiamentos "," 1326669 "," 446679 "," 494469 "
2.02.01.01," Empréstimos e Financiamentos "," 1299355 "," 430297 "," 457195 "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," 27314 "," 16382 "," 37274 "
2.02.02," Outras Obrigações "," 123154 "," 406527 "," 11750 "
2.02.02.01," Passivos com Partes Relacionadas "," 0 "," 2559 "," 0 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 123154 "," 403968 "," 11750 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Gratificações e participações "," 29260 "," 13438 "," 5034 "
2.02.02.02.04," Imposto de renda e contribuição social "," 14620 "," 119202 "," 3529 "
2.02.02.02.05," Dividendos e juros sobre capital próprio "," 73072 "," 268006 "," 0 "
2.02.02.02.06," Parcelamento de impostos "," "," "," "
2.02.02.02.07," Outras contas a pagar "," 6202 "," 3322 "," 3187 "
2.02.03," Tributos Diferidos "," 95491 "," 21607 "," 28383 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 95491 "," 21607 "," 28383 "
2.02.04," Provisões "," 90734 "," 44965 "," 49459 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," 90734 "," 44965 "," 49459 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisão para contingências "," 90734 "," 44965 "," 49459 "
2.02.04.02.05," Provisão para riscos cíveis, tributários e trabalhistas "," "," "," "
2.02.04.02.06," Provisão para gratificações e participações "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 1662597 "," 1391136 "," 1289664 "
2.03.01," Capital Social Realizado "," 396835 "," 540000 "," 540000 "
2.03.02," Reservas de Capital "," 383 "," 383 "," 383 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
