Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6872693 "," 5041850 "," 3107022 "
2.01," Passivo Circulante "," 406434 "," 427704 "," 320203 "
2.01.01," Obrigações Sociais e Trabalhistas "," 7489 "," 2347 "," 0 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 7489 "," 2347 "," 0 "
2.01.02," Fornecedores "," 213908 "," 146234 "," 37160 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 73 "," 113 "," 0 "
2.01.03.01," Obrigações Fiscais Federais "," 73 "," 113 "," 0 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Imposto de renda e contribuição social correntes "," 73 "," 113 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 43671 "," 207970 "," 0 "
2.01.04.01," Empréstimos e Financiamentos "," 43671 "," 207970 "," 0 "
2.01.04.01.01," Em Moeda Nacional "," 4044 "," 207970 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," 39627 "," 0 "," 0 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 141293 "," 71040 "," 283043 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 141293 "," 71040 "," 283043 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Dividendos a Pagar "," 51420 "," 41130 "," 0 "
2.01.05.02.05," Outras contas a pagar "," 1173 "," 0 "," 0 "
2.01.05.02.06," Outros tributos a pagar "," 3417 "," 9484 "," 99 "
2.01.05.02.07," Arrendamento mercantil "," 2206 "," 0 "," 282944 "
2.01.05.02.08," Certificado de recebíveis imobiliários "," "," "," "
2.01.05.02.09," Instrumentos financeiros derivativos "," 69593 "," 0 "," 0 "
2.01.05.02.10," Arrendamentos e concessões "," "," "," "
2.01.05.02.11," Receitas diferidas "," "," "," "
2.01.05.02.12," Outros passivos financeiros "," 5254 "," 20426 "," 0 "
2.01.05.02.13," Adiantamento de clientes "," 8230 "," 0 "," 0 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 3858709 "," 1741455 "," 2458079 "
2.02.01," Empréstimos e Financiamentos "," 2233238 "," 238006 "," 0 "
2.02.01.01," Empréstimos e Financiamentos "," 2233238 "," 238006 "," 0 "
2.02.01.01.01," Em Moeda Nacional "," 642579 "," 238006 "," 0 "
