Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1884901 "," 1595051 "," 1319855 "
2.01," Passivo Circulante "," 1422702 "," 425760 "," 359097 "
2.01.01," Obrigações Sociais e Trabalhistas "," 18428 "," 18016 "," 17767 "
2.01.01.01," Obrigações Sociais "," 6216 "," 6449 "," 6201 "
2.01.01.02," Obrigações Trabalhistas "," 12212 "," 11567 "," 11566 "
2.01.02," Fornecedores "," 221261 "," 220370 "," 206312 "
2.01.02.01," Fornecedores Nacionais "," 221261 "," 220370 "," 206312 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 59667 "," 66972 "," 39456 "
2.01.03.01," Obrigações Fiscais Federais "," 34344 "," 44176 "," 21718 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 27925 "," 30541 "," 15640 "
2.01.03.01.02," Pis, Cofins e IRRF a Recolher "," 6419 "," 11423 "," 6038 "
2.01.03.01.03," Outros Tributos a Recolher "," 370 "," 47 "," 40 "
2.01.03.01.04," Tributos Parcelados "," 2245 "," 2165 "," 0 "
2.01.03.02," Obrigações Fiscais Estaduais "," 22718 "," 22796 "," 17738 "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 31466 "," 29980 "," 28918 "
2.01.04.01," Empréstimos e Financiamentos "," 0 "," 0 "," 16 "
2.01.04.01.01," Em Moeda Nacional "," 0 "," 0 "," 16 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 31466 "," 29980 "," 28902 "
2.01.05," Outras Obrigações "," 1091870 "," 90422 "," 66644 "
2.01.05.01," Passivos com Partes Relacionadas "," 19021 "," 13960 "," 14460 "
2.01.05.01.01," Débitos com Coligadas "," 19021 "," 13960 "," 14460 "
2.01.05.01.02," Débitos com Controladas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 1072849 "," 76462 "," 52184 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 1070122 "," 73307 "," 50880 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Outros Passivos Circulantes "," 2727 "," 3155 "," 1304 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
