Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 4228889 "," 4260948 "," 4309706 "
2.01," Passivo Circulante "," 1977043 "," 1511169 "," 1348534 "
2.01.01," Obrigações Sociais e Trabalhistas "," 103507 "," 109395 "," 81727 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 316702 "," 249354 "," 197968 "
2.01.02.01," Fornecedores Nacionais "," "," "," "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 29869 "," 40446 "," 20383 "
2.01.03.01," Obrigações Fiscais Federais "," 29869 "," 40446 "," 20383 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Impostos e Taxas "," 29869 "," 40446 "," 20383 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 1280009 "," 958028 "," 912169 "
2.01.04.01," Empréstimos e Financiamentos "," 1121413 "," 866943 "," 825161 "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 158596 "," 91085 "," 87008 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 246956 "," 153946 "," 136287 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 246956 "," 153946 "," 136287 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Instrumentos Derivativos "," "," "," "
2.01.05.02.05," Outras Contas a Pagar "," 143725 "," 64366 "," 63589 "
