Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 24641840 "," 21653387 "," 18710421 "
2.01," Passivo Circulante "," 5374222 "," 5292015 "," 3260710 "
2.01.01," Obrigações Sociais e Trabalhistas "," 12171 "," 10781 "," 8433 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 12171 "," 10781 "," 8433 "
2.01.01.02.01," Folha de pagamento "," 12171 "," 10781 "," 8433 "
2.01.01.02.02," Indenizações trabalhistas "," "," "," "
2.01.02," Fornecedores "," 1406984 "," 1215739 "," 970758 "
2.01.02.01," Fornecedores Nacionais "," 1406984 "," 1215739 "," 970758 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," "," "," "
2.01.03.01," Obrigações Fiscais Federais "," "," "," "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Obrigações Fiscais Federais - Outros "," "," "," "
2.01.03.01.03," Obrigações Fiscais Federais - Parcelamento "," "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.03.03.01," Imposto de Renda e contribuição social a pagar "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 2022747 "," 2420865 "," 1054513 "
2.01.04.01," Empréstimos e Financiamentos "," 1421836 "," 1991448 "," 750090 "
2.01.04.01.01," Em Moeda Nacional "," 519204 "," 857244 "," 517243 "
2.01.04.01.02," Em Moeda Estrangeira "," 902632 "," 1134204 "," 232847 "
2.01.04.02," Debêntures "," 600911 "," 429417 "," 304423 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.04.03.01," Em moeda nacional "," "," "," "
2.01.04.03.02," Em moeda estrangeira "," "," "," "
2.01.05," Outras Obrigações "," 1932320 "," 1644630 "," 1227006 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 1932320 "," 1644630 "," 1227006 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 4414 "," 53017 "," 2141 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Encargos de dívidas "," 78854 "," 75855 "," 31764 "
2.01.05.02.05," Participações nos lucros "," "," "," "
2.01.05.02.06," Contribuição de iluminação pública "," 67238 "," 64746 "," 63530 "
2.01.05.02.07," Taxas regulamentares "," "," "," "
2.01.05.02.08," Taxas regulamentares "," "," "," "
2.01.05.02.09," Impostos e contribuições sociais "," 491013 "," 441996 "," 295385 "
2.01.05.02.10," Obrigações estimadas "," 55822 "," 53267 "," 49660 "
2.01.05.02.11," Parcelamento de impostos "," 17314 "," 17313 "," 17313 "
2.01.05.02.12," Multas Regulatórias "," "," "," "
2.01.05.02.13," Passivos financeiros setoriais "," 304935 "," 490859 "," 336142 "
2.01.05.02.14," Encargos setoriais "," 200529 "," 129853 "," 168552 "
2.01.05.02.15," Incorporação de redes "," 107237 "," 69955 "," 48239 "
2.01.05.02.16," Instrumentos financeiros derivativos "," 219058 "," 8666 "," 28718 "
2.01.05.02.17," Benefícios pós emprego "," 21188 "," 25367 "," 29075 "
2.01.05.02.18," Arrendamentos Operacionais "," 5695 "," 9511 "," 10779 "
2.01.05.02.20," Outras "," 359023 "," 204225 "," 145708 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 13978219 "," 10630012 "," 10749045 "
2.02.01," Empréstimos e Financiamentos "," 7805292 "," 6655747 "," 6791970 "
2.02.01.01," Empréstimos e Financiamentos "," 4013113 "," 3115768 "," 3508361 "
2.02.01.01.01," Em Moeda Nacional "," 2655579 "," 1865329 "," 1647521 "
2.02.01.01.02," Em Moeda Estrangeira "," 1357534 "," 1250439 "," 1860840 "
2.02.01.02," Debêntures "," 3792179 "," 3539979 "," 3283609 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.01.03.01," Em moeda nacional "," "," "," "
2.02.01.03.02," Em moeda estrangeira "," "," "," "
2.02.02," Outras Obrigações "," 4158741 "," 1903191 "," 2073953 "
2.02.02.01," Passivos com Partes Relacionadas "," 216239 "," 199811 "," 532984 "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," 216239 "," 199811 "," 532984 "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 3942502 "," 1703380 "," 1540969 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Fornecedores "," 67184 "," 72674 "," 68271 "
