Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 11181967 "," 9320851 "," 0 "
2.01," Passivos Financeiros Avaliados ao Valor Justo através do Resultado "," 243719 "," 529388 "," 0 "
2.01.01," Depósitos "," "," "," "
2.01.02," Captações no Mercado Aberto "," "," "," "
2.01.03," Recursos de Aceites e Emissão de Títulos "," "," "," "
2.01.07," Obrigações por Repasse do País "," "," "," "
2.01.09," Outras Obrigações "," "," "," "
2.01.10," Instrumentos Financeiros Derivativos "," 243719 "," 529388 "," 0 "
2.02," Passivos Financeiros ao Custo Amortizado "," 9692870 "," 7523769 "," 0 "
2.02.01," Depósitos "," 9688018 "," 5483917 "," 0 "
2.02.01.01," Depósitos a vista "," 83443 "," 79237 "," 0 "
2.02.01.02," Depósitos Interfinanceiros "," 9604575 "," 5404680 "," 0 "
2.02.01.03," Depósitos a Prazo "," "," "," "
2.02.02," Captações no Mercado Aberto "," "," "," "
2.02.02.01," Carteira Própria "," "," "," "
2.02.03," Recursos Mercado Interfinanceiro "," 0 "," 2032159 "," 0 "
2.02.03.01," Recursos de Letras Imobiliárias,Hipotecárias, de Crédito e Similares "," 0 "," 2032159 "," 0 "
2.02.04," Outras Captações "," 4852 "," 7693 "," 0 "
2.02.04.01," Obrigações por empréstimos "," "," "," "
2.02.04.02," Obrigações por Repasse do Exterior "," "," "," "
2.02.04.03," Obrigações por Repasse do País "," 4852 "," 7693 "," 0 "
2.03," Provisões "," 18334 "," 23109 "," 0 "
2.03.01," Passivos Contingentes e Obrigações Legais "," 18334 "," 23109 "," 0 "
2.04," Passivos Fiscais "," 26492 "," 106069 "," 0 "
2.04.01," Obrigações Fiscais Diferidas "," 26492 "," 106069 "," 0 "
2.05," Outros Passivos "," 137671 "," 133225 "," 0 "
2.05.01," Cobrança e Arrecadação de Tributos e Assemelhados "," 1771 "," 167 "," 0 "
2.05.02," Relações Interdependências "," 14 "," 17 "," 0 "
2.05.03," Carteira de Câmbio "," "," "," "
2.05.04," Sociais e Estatutárias "," 19783 "," 17677 "," 0 "
2.05.05," Fiscais e Previdenciárias "," 24631 "," 12717 "," 0 "
2.05.06," Negociação e Intermediação de Valores "," 27 "," 0 "," 0 "
2.05.07," Despesa de Pessoal "," 21001 "," 18410 "," 0 "
2.05.08," Outros "," 70444 "," 84237 "," 0 "
2.05.09," Resultados de Exercícios Futuros "," "," "," "
2.06," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," "," "," "
2.06.01," Passivos sobre Ativos Não Correntes a Venda "," "," "," "
2.06.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.07," Patrimônio Líquido "," 1062881 "," 1005291 "," 0 "
2.07.01," Patrimônio Líquido Atribuído ao Controlador "," "," "," "
2.07.01.01," Capital Social Realizado "," 489598 "," 473930 "," 0 "
2.07.01.02," Reservas de Capital "," 2692 "," 2692 "," 0 "
2.07.01.02.01," Ágio na Emissão de Ações "," "," "," "
2.07.01.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.07.01.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.07.01.02.04," Opções Outorgadas "," "," "," "
2.07.01.02.05," Ações em Tesouraria "," "," "," "
2.07.01.03," Reservas de Reavaliação "," "," "," "
2.07.01.04," Reservas de Lucros "," "," "," "
2.07.01.04.01," Reserva Legal "," 74787 "," 70984 "," 0 "
2.07.01.04.02," Reserva Estatutária "," 469616 "," 434280 "," 0 "
2.07.01.04.03," Reserva para Contingências "," "," "," "
2.07.01.04.04," Reserva de Lucros a Realizar "," "," "," "
2.07.01.04.05," Reserva de Retenção de Lucros "," "," "," "
2.07.01.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.07.01.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.07.01.04.08," Dividendo Adicional Proposto "," "," "," "
2.07.01.04.09," Ações em Tesouraria "," "," "," "
2.07.01.05," Lucros/Prejuízos Acumulados "," 1654 "," 468 "," 0 "
2.07.01.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.07.01.07," Ajustes Acumulados de Conversão "," "," "," "
2.07.01.08," Outros Resultados Abrangentes "," "," "," "
2.07.02," Patrimônio Líquido Atribuído aos Não Controladores "," 24534 "," 22937 "," 0 "
2.07.02.01," Ágio na Emissão de Ações "," "," "," "
2.07.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.07.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.07.02.04," Opções Outorgadas "," "," "," "
2.07.02.05," Ações em Tesouraria "," "," "," "
