Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 191419 "," 124698 "," 79872 "
2.01," Passivo Circulante "," 56263 "," 24307 "," 16155 "
2.01.01," Obrigações Sociais e Trabalhistas "," 6399 "," 2513 "," 1576 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 6399 "," 2513 "," 1576 "
2.01.02," Fornecedores "," 25780 "," 13120 "," 8634 "
2.01.02.01," Fornecedores Nacionais "," 25780 "," 13120 "," 8634 "
2.01.02.01.01," Terrenos à pagar "," 22491 "," 11560 "," 8116 "
2.01.02.01.02," Fornecedores à pagar "," 3289 "," 1560 "," 518 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 258 "," 290 "," 288 "
2.01.03.01," Obrigações Fiscais Federais "," 258 "," 290 "," 288 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Obrigações Fiscais Parceladas "," 258 "," 290 "," 288 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.03.03.01," Obrigações Fiscais Parceladas "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 8966 "," 281 "," 246 "
2.01.04.01," Empréstimos e Financiamentos "," 8747 "," 0 "," 0 "
2.01.04.01.01," Em Moeda Nacional "," 8747 "," 0 "," 0 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 219 "," 281 "," 246 "
2.01.05," Outras Obrigações "," 13633 "," 7004 "," 3973 "
2.01.05.01," Passivos com Partes Relacionadas "," 0 "," 2289 "," 3944 "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," 0 "," 2289 "," 3944 "
2.01.05.02," Outros "," 13633 "," 4715 "," 29 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 1637 "," 29 "," 29 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de Clientes "," 11996 "," 4686 "," 0 "
2.01.05.02.05," Demais Passivos "," "," "," "
2.01.06," Provisões "," 1227 "," 1099 "," 1438 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," 1227 "," 1099 "," 1438 "
2.01.06.02.01," Provisões para Garantias "," 1227 "," 1099 "," 1438 "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisão para riscos tributários, cíveis e trabalhistas "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 125995 "," 97089 "," 62358 "
2.02.01," Empréstimos e Financiamentos "," 78350 "," 34026 "," 507 "
2.02.01.01," Empréstimos e Financiamentos "," 78350 "," 33720 "," 0 "
2.02.01.01.01," Em Moeda Nacional "," 78350 "," 33720 "," 0 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," 0 "," 306 "," 507 "
2.02.02," Outras Obrigações "," 30739 "," 44667 "," 43038 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 30739 "," 44667 "," 43038 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Adiantamentos para Futuras Incorporações "," 0 "," 0 "," 13550 "
2.02.02.02.04," Obrigações Fiscais Parceladas Federais "," 289 "," 522 "," 811 "
2.02.02.02.05," Obrigações Fiscais Parceladas Municipais "," "," "," "
2.02.02.02.06," Outras Contas "," 25378 "," 27086 "," 2111 "
2.02.02.02.07," Terrenos à pagar "," 3176 "," 17038 "," 26566 "
2.02.02.02.08," Obrigações trabalhistas e tributárias "," 35 "," 21 "," 0 "
2.02.02.02.09," Demais Débitos "," 1861 "," 0 "," 0 "
2.02.03," Tributos Diferidos "," "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," 16906 "," 18396 "," 18813 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 15243 "," 17313 "," 16926 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Provisão para riscos tributários, cíveis e trabalhistas "," 15243 "," 17313 "," 16926 "
2.02.04.02," Outras Provisões "," 1663 "," 1083 "," 1887 "
2.02.04.02.01," Provisões para Garantias "," 520 "," 525 "," 1593 "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisão para Perda em Investimentos "," 1143 "," 558 "," 294 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
