Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 14775506 "," 13828088 "," 12248255 "
2.01," Passivo Circulante "," 5896193 "," 4801303 "," 4078485 "
2.01.01," Obrigações Sociais e Trabalhistas "," 420356 "," 309160 "," 296674 "
2.01.01.01," Obrigações Sociais "," 101197 "," 65593 "," 59686 "
2.01.01.02," Obrigações Trabalhistas "," 319159 "," 243567 "," 236988 "
2.01.02," Fornecedores "," 3656607 "," 3106938 "," 2653236 "
2.01.02.01," Fornecedores Nacionais "," 3656607 "," 3106938 "," 2653236 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 154773 "," 138671 "," 102671 "
2.01.03.01," Obrigações Fiscais Federais "," 39305 "," 43221 "," 32419 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 362 "," 6873 "," 8309 "
2.01.03.01.02," Outras Obrigações Fiscais Federais "," 38943 "," 36348 "," 24110 "
2.01.03.02," Obrigações Fiscais Estaduais "," 109709 "," 90742 "," 67122 "
2.01.03.03," Obrigações Fiscais Municipais "," 5759 "," 4708 "," 3130 "
2.01.04," Empréstimos e Financiamentos "," 613831 "," 531204 "," 228661 "
2.01.04.01," Empréstimos e Financiamentos "," 150345 "," 376154 "," 69083 "
2.01.04.01.01," Em Moeda Nacional "," 150345 "," 376154 "," 69083 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 463486 "," 155050 "," 159578 "
2.01.04.02.01," Debêntures "," 463486 "," 155050 "," 159578 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 942073 "," 645907 "," 739928 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 942073 "," 645907 "," 739928 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 76787 "," 16492 "," 68255 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Aluguéis "," 84060 "," 69322 "," 60814 "
2.01.05.02.05," Demais Contas a Pagar "," 82056 "," 56775 "," 44213 "
2.01.05.02.06," Passivo de Arrendamento "," 699170 "," 503318 "," 566646 "
2.01.06," Provisões "," 108553 "," 69423 "," 57315 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 43560 "," 32835 "," 26008 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.01.05," Provisões para Demandas Judiciais "," 43560 "," 32835 "," 26008 "
2.01.06.02," Outras Provisões "," 64993 "," 36588 "," 31307 "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.06.02.04," Provisões p/Campanhas Internas "," "," "," "
2.01.06.02.05," Provisões p/Despesas Extraordinárias "," "," "," "
2.01.06.02.06," Provisões p/Obrigações Diversas "," 64993 "," 36588 "," 31307 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 4160511 "," 4601164 "," 4093351 "
2.02.01," Empréstimos e Financiamentos "," 891391 "," 1122250 "," 897815 "
2.02.01.01," Empréstimos e Financiamentos "," 300778 "," 100150 "," 27564 "
2.02.01.01.01," Em Moeda Nacional "," 300778 "," 100150 "," 27564 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," 590613 "," 1022100 "," 870251 "
2.02.01.02.01," Debêntures "," 590613 "," 1022100 "," 870251 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 3126569 "," 3329086 "," 3004436 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 3126569 "," 3329086 "," 3004436 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Programa de Recuperação Fiscal "," 114898 "," 13188 "," 11436 "
2.02.02.02.04," Obrigações com Acionista de Controlada "," 37943 "," 46448 "," 42113 "
2.02.02.02.05," Passivo de Arrendamento "," 2973728 "," 2927607 "," 2617987 "
2.02.02.02.06," Débitos de Empresas Controladas "," 0 "," 341843 "," 332900 "
2.02.03," Tributos Diferidos "," 89011 "," 74428 "," 123986 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 89011 "," 74428 "," 123986 "
2.02.04," Provisões "," 53540 "," 75400 "," 67114 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 53108 "," 70822 "," 67114 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.01.05," Provisões para Demandas Judiciais "," 53108 "," 70822 "," 67114 "
2.02.04.02," Outras Provisões "," 432 "," 4578 "," 0 "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.04.02.04," Provisões para Perdas nos Investimentos "," 432 "," 4578 "," 0 "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 4718802 "," 4425621 "," 4076419 "
2.03.01," Capital Social Realizado "," 2500000 "," 2500000 "," 2500000 "
2.03.02," Reservas de Capital "," 89914 "," 148029 "," 129768 "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.02.07," Reservas de Capital "," 89914 "," 148029 "," 129768 "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 2072984 "," 1733650 "," 1413627 "
2.03.04.01," Reserva Legal "," 215950 "," 178353 "," 154131 "
2.03.04.02," Reserva Estatutária "," 1536438 "," 1278952 "," 1080637 "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," 22129 "," 69478 "," 41643 "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.04.10," Reserva de Incentivos Fiscais "," 298467 "," 206867 "," 137216 "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," 14775 "," -18553 "," -18382 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 41129 "," 62495 "," 51406 "
