Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 3474874 "," 2734249 "," 2299003 "
2.01," Passivo Circulante "," 823144 "," 767861 "," 598545 "
2.01.01," Obrigações Sociais e Trabalhistas "," 37546 "," 37179 "," 29872 "
2.01.01.01," Obrigações Sociais "," 0 "," 37179 "," 29872 "
2.01.01.02," Obrigações Trabalhistas "," 37546 "," 0 "," 0 "
2.01.02," Fornecedores "," 282997 "," 171457 "," 165534 "
2.01.02.01," Fornecedores Nacionais "," 273364 "," 170746 "," 163729 "
2.01.02.02," Fornecedores Estrangeiros "," 9633 "," 711 "," 1805 "
2.01.03," Obrigações Fiscais "," 76191 "," 102895 "," 26274 "
2.01.03.01," Obrigações Fiscais Federais "," 76191 "," 102895 "," 26274 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Parcelamento - PAEX "," 30839 "," 32001 "," 8127 "
2.01.03.01.03," Obrigações Tributárias "," 45352 "," 70894 "," 18147 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 230510 "," 274516 "," 240166 "
2.01.04.01," Empréstimos e Financiamentos "," 230510 "," 274516 "," 240166 "
2.01.04.01.01," Em Moeda Nacional "," 153786 "," 168465 "," 129311 "
2.01.04.01.02," Em Moeda Estrangeira "," 76724 "," 106051 "," 110855 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 195900 "," 181814 "," 136699 "
2.01.05.01," Passivos com Partes Relacionadas "," 0 "," 4237 "," 0 "
2.01.05.01.01," Débitos com Coligadas "," 0 "," 4237 "," 0 "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 195900 "," 177577 "," 136699 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 60504 "," 68099 "," 72769 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de Clientes "," 28065 "," 26989 "," 17957 "
2.01.05.02.05," Demais Contas a Pagar "," 72661 "," 58741 "," 27656 "
2.01.05.02.06," Debêntures a Pagar "," "," "," "
2.01.05.02.07," Passivos de Arrendamentos "," 34670 "," 23748 "," 18317 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 763718 "," 485165 "," 373782 "
2.02.01," Empréstimos e Financiamentos "," 291384 "," 231666 "," 192988 "
2.02.01.01," Empréstimos e Financiamentos "," 291384 "," 231666 "," 192988 "
2.02.01.01.01," Em Moeda Nacional "," 178771 "," 144225 "," 122205 "
2.02.01.01.02," Em Moeda Estrangeira "," 112613 "," 87441 "," 70783 "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 394114 "," 235542 "," 162837 "
2.02.02.01," Passivos com Partes Relacionadas "," 0 "," 6000 "," 0 "
2.02.02.01.01," Débitos com Coligadas "," 0 "," 6000 "," 0 "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 394114 "," 229542 "," 162837 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Parcelamento - PAEX "," 54082 "," 76631 "," 29046 "
2.02.02.02.04," Tributos diferidos "," 121876 "," 122428 "," 113624 "
2.02.02.02.05," Passivos de Arrendamentos "," 210202 "," 30483 "," 20167 "
2.02.02.02.06," Fornecedores "," 7954 "," 0 "," 0 "
2.02.03," Tributos Diferidos "," "," "," "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," "," "," "
2.02.04," Provisões "," 78220 "," 17957 "," 17957 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 78220 "," 17957 "," 17957 "
2.02.04.01.01," Provisões Fiscais "," "," "," "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 78220 "," 17957 "," 17957 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 1888012 "," 1481223 "," 1326676 "
