Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 238205 "," 231619 "," 228305 "
2.01," Passivos Financeiros Avaliados ao Valor Justo através do Resultado "," "," "," "
2.02," Passivos Financeiros ao Custo Amortizado "," "," "," "
2.02.01," Depósitos "," "," "," "
2.02.02," Captações no Mercado Aberto "," "," "," "
2.02.03," Recursos Mercado Interfinanceiro "," "," "," "
2.02.04," Outras Captações "," "," "," "
2.03," Provisões "," "," "," "
2.04," Passivos Fiscais "," 487 "," 413 "," 424 "
2.04.01," Imposto de Renda e Contribuição Social - Diferidos "," 407 "," 396 "," 386 "
2.04.02," Outras Obrigações Fiscais "," 80 "," 17 "," 38 "
2.05," Outros Passivos "," 102 "," 120 "," 164 "
2.06," Passivos sobre Ativos Não Correntes a Venda e Descontinuados "," "," "," "
2.06.01," Passivos sobre Ativos Não Correntes a Venda "," "," "," "
2.06.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.07," Patrimônio Líquido "," 237616 "," 231086 "," 227717 "
2.07.01," Capital Social Realizado "," 123144 "," 123144 "," 123144 "
2.07.02," Reservas de Capital "," 182 "," 182 "," 182 "
2.07.02.01," Ágio na Emissão de Ações "," "," "," "
2.07.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.07.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.07.02.04," Opções Outorgadas "," "," "," "
2.07.02.05," Ações em Tesouraria "," "," "," "
2.07.03," Reservas de Reavaliação "," "," "," "
2.07.04," Reservas de Lucros "," 114290 "," 107760 "," 104391 "
2.07.04.01," Reserva Legal "," "," "," "
2.07.04.02," Reserva Estatutária "," "," "," "
2.07.04.03," Reserva para Contingências "," "," "," "
2.07.04.04," Reserva de Lucros a Realizar "," "," "," "
2.07.04.05," Reserva de Retenção de Lucros "," "," "," "
2.07.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.07.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.07.04.08," Dividendo Adicional Proposto "," "," "," "
2.07.04.09," Ações em Tesouraria "," "," "," "
2.07.05," Lucros/Prejuízos Acumulados "," "," "," "
2.07.06," Ajustes de Avaliação Patrimonial "," "," "," "
2.07.07," Ajustes Acumulados de Conversão "," "," "," "
2.07.08," Outros Resultados Abrangentes "," "," "," "
