Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 10915 "," 11576 "," 13930 "
2.01," Passivo Circulante "," 765 "," 283 "," 549 "
2.01.01," Depósitos "," "," "," "
2.01.02," Captações no Mercado Aberto "," "," "," "
2.01.03," Recursos de Aceites e Emissão de Títulos "," "," "," "
2.01.03.01," Receursos de Aceites Cambiais "," "," "," "
2.01.04," Relações Interfinanceiras "," "," "," "
2.01.05," Relações Interdependências "," "," "," "
2.01.06," Obrigações por Empréstimos "," "," "," "
2.01.07," Obrigações por Repasse do País "," "," "," "
2.01.08," Obrigações por Repasse do Exterior "," "," "," "
2.01.09," Outras Obrigações "," 765 "," 283 "," 549 "
2.01.09.01," Cobrança e Arrec. de Tributos "," 511 "," 0 "," 0 "
2.01.09.02," Sociais e Estatutárias "," "," "," "
2.01.09.03," Fiscais e Previdenciárias "," 59 "," 50 "," 50 "
2.01.09.04," Provisão p/Pagamentos a Efetuar "," 195 "," 191 "," 190 "
2.01.09.05," Prov.para Passivos Contingentes "," 0 "," 40 "," 273 "
2.01.09.06," Diversas "," 0 "," 2 "," 36 "
2.02," Passivo Exigível a Longo Prazo "," 257 "," 242 "," 287 "
2.02.01," Depósitos "," "," "," "
2.02.02," Captações no Mercado Aberto "," "," "," "
2.02.03," Recursos de Aceites e Emissão de Títulos "," "," "," "
2.02.04," Relações Interfinanceiras "," "," "," "
2.02.05," Relações Interdependências "," "," "," "
2.02.06," Obrigações por Empréstimos "," "," "," "
2.02.07," Obrigações por Repasse do País "," "," "," "
2.02.08," Obrigações por Repasse do Exterior "," "," "," "
2.02.09," Outras Obrigações "," 257 "," 242 "," 287 "
2.02.09.01," Fiscais e Previdenciárias "," 257 "," 242 "," 287 "
2.03," Resultados de Exercícios Futuros "," "," "," "
2.05," Patrimônio Líquido "," 9893 "," 11051 "," 13094 "
2.05.01," Capital Social Realizado "," 12351 "," 12351 "," 12351 "
2.05.02," Reservas de Capital "," "," "," "
2.05.03," Reservas de Reavaliação "," 458 "," 507 "," 495 "
2.05.03.01," Ativos Próprios "," 458 "," 507 "," 495 "
2.05.03.02," Controladas/Coligadas e Equiparadas "," "," "," "
2.05.04," Reservas de Lucro "," -45 "," -45 "," 248 "
2.05.04.01," Legal "," 0 "," 0 "," 293 "
2.05.04.02," Estatutária "," "," "," "
2.05.04.03," Para Contingências "," "," "," "
2.05.04.04," De Lucros a Realizar "," "," "," "
2.05.04.05," Retenção de Lucros "," "," "," "
2.05.04.06," Especial p/ Dividendos Não Distribuídos "," "," "," "
2.05.04.07," Outras Reservas de Lucro "," -45 "," -45 "," -45 "
2.05.04.07.01," Ações em Tesouraria "," -45 "," -45 "," -45 "
2.05.05," Ajustes de Avaliação Patrimonial "," "," "," "
2.05.05.01," Ajustes de Títulos e Valores Mobiliários "," "," "," "
2.05.05.02," Ajustes Acumulados de Conversão "," "," "," "
2.05.05.03," Ajustes de Combinação de Negócios "," "," "," "
2.05.06," Lucros/Prejuízos Acumulados "," -2871 "," -1762 "," 0 "
