Conta," Descrição "," 31/12/2021 "," 31/12/2020 "
2," Passivo Total "," 3082318 "," 2841904 "
2.01," Passivo Circulante "," 825520 "," 818435 "
2.01.01," Obrigações Sociais e Trabalhistas "," 83964 "," 58514 "
2.01.01.01," Obrigações Sociais "," "," "
2.01.01.02," Obrigações Trabalhistas "," 83964 "," 58514 "
2.01.01.02.01," Salários, Férias e Encargos "," 54521 "," 38291 "
2.01.01.02.02," Participação a Pagar "," 29443 "," 20223 "
2.01.02," Fornecedores "," 345727 "," 265401 "
2.01.02.01," Fornecedores Nacionais "," 255397 "," 161088 "
2.01.02.01.01," Fornecedores Nacionais "," 219738 "," 159875 "
2.01.02.01.02," Risco Sacado "," 35659 "," 1213 "
2.01.02.02," Fornecedores Estrangeiros "," 90330 "," 104313 "
2.01.03," Obrigações Fiscais "," 64458 "," 78207 "
2.01.03.01," Obrigações Fiscais Federais "," 48339 "," 64010 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 3955 "," 36442 "
2.01.03.01.02," Obrigações Fiscais Federais "," 44384 "," 27568 "
2.01.03.01.03," Obrigações Fiscais Estaduais "," "," "
2.01.03.01.04," Obrigações Fiscais Municipais "," "," "
2.01.03.02," Obrigações Fiscais Estaduais "," 15997 "," 14119 "
2.01.03.03," Obrigações Fiscais Municipais "," 122 "," 78 "
2.01.04," Empréstimos e Financiamentos "," 195676 "," 221924 "
2.01.04.01," Empréstimos e Financiamentos "," 195676 "," 221924 "
2.01.04.01.01," Em Moeda Nacional "," 90670 "," 93914 "
2.01.04.01.02," Em Moeda Estrangeira "," 105006 "," 128010 "
2.01.04.02," Debêntures "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "
2.01.05," Outras Obrigações "," 128534 "," 188186 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "
2.01.05.02," Outros "," 128534 "," 188186 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 13315 "," 12519 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "
2.01.05.02.04," Adiantamento de Clientes "," 32257 "," 14131 "
2.01.05.02.05," Juros sobre Capital Próprio a Pagar "," 20537 "," 33364 "
2.01.05.02.06," Contas a Pagar de Combinação de Negócio "," 0 "," 50130 "
2.01.05.02.07," Outras Contas "," 48850 "," 59009 "
2.01.05.02.08," Arrendamentos "," 12376 "," 16776 "
2.01.05.02.09," Participação de Empregados e Administradores "," "," "
2.01.05.02.10," Instrumentos Financeiros Derivativos "," 1199 "," 2257 "
2.01.05.02.11," Contraprestação a Pagar à Clientes "," "," "
2.01.06," Provisões "," 7161 "," 6203 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "
2.01.06.02," Outras Provisões "," 7161 "," 6203 "
2.01.06.02.01," Provisões para Garantias "," 3364 "," 2979 "
2.01.06.02.02," Provisões para Reestruturação "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.01.06.02.04," Provisão para Comissões "," 3797 "," 3224 "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02," Passivo Não Circulante "," 1150843 "," 1068658 "
2.02.01," Empréstimos e Financiamentos "," 779760 "," 702426 "
2.02.01.01," Empréstimos e Financiamentos "," 779760 "," 702426 "
2.02.01.01.01," Em Moeda Nacional "," 629949 "," 513265 "
2.02.01.01.02," Em Moeda Estrangeira "," 149811 "," 189161 "
2.02.01.02," Debêntures "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "
2.02.02," Outras Obrigações "," 329565 "," 336943 "
2.02.02.01," Passivos com Partes Relacionadas "," 6972 "," 7082 "
2.02.02.01.01," Débitos com Coligadas "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," 6972 "," 7082 "
2.02.02.02," Outros "," 322593 "," 329861 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "
2.02.02.02.03," Outros Passivos Não Circulantes "," 15795 "," 21558 "
2.02.02.02.04," Arrendamentos "," 143906 "," 128860 "
2.02.02.02.05," Contas a Pagar por Combinação de Negócios "," 154184 "," 172113 "
2.02.02.02.06," Instrumentos Financeiros Derivativos "," 155 "," 0 "
2.02.02.02.07," Participações a Pagar "," 8553 "," 7330 "
2.02.03," Tributos Diferidos "," 0 "," 5308 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 0 "," 5308 "
2.02.03.01.01," Impostos Diferido "," 0 "," 5308 "
2.02.03.01.02," Ajuste Correção Monetária "," "," "
2.02.04," Provisões "," 39505 "," 21700 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 39505 "," 21700 "
2.02.04.01.01," Provisões Fiscais "," 757 "," 788 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," 38713 "," 15618 "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "
2.02.04.01.04," Provisões Cíveis "," 35 "," 5294 "
2.02.04.02," Outras Provisões "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "
2.02.06," Lucros e Receitas a Apropriar "," 2013 "," 2281 "
2.02.06.01," Lucros a Apropriar "," "," "
2.02.06.02," Receitas a Apropriar "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," 2013 "," 2281 "
2.03," Patrimônio Líquido Consolidado "," 1105955 "," 954811 "
2.03.01," Capital Social Realizado "," 600000 "," 600000 "
2.03.02," Reservas de Capital "," 4569 "," 2115 "
2.03.02.01," Ágio na Emissão de Ações "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "
2.03.02.04," Opções Outorgadas "," "," "
2.03.02.05," Ações em Tesouraria "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "
2.03.02.07," Gastos com Emissões de Ações "," -4623 "," -4623 "
2.03.02.08," Reserva de Incentivos Fiscais "," 9192 "," 6738 "
2.03.03," Reservas de Reavaliação "," "," "
2.03.04," Reservas de Lucros "," 452272 "," 307560 "
2.03.04.01," Reserva Legal "," 63322 "," 52761 "
2.03.04.02," Reserva Estatutária "," "," "
2.03.04.03," Reserva para Contingências "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," "," "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "
2.03.04.09," Ações em Tesouraria "," -13352 "," -13352 "
2.03.04.10," Outras Reservas de Lucros "," 402302 "," 268151 "
2.03.05," Lucros/Prejuízos Acumulados "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," "," "
2.03.07," Ajustes Acumulados de Conversão "," "," "
2.03.08," Outros Resultados Abrangentes "," 38728 "," 34154 "
2.03.08.01," Ajuste Valor Atribuído ao Ativo Imobilizado "," 27586 "," 28720 "
2.03.08.02," Equivalência Patrimonial sobre Resultado Abrangentes Controladas "," 7568 "," 2028 "
2.03.08.03," Outros Resultados Abrangentes "," 3574 "," 3406 "
2.03.09," Participação dos Acionistas Não Controladores "," 10386 "," 10982 "
