Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 1954520 "," 1746708 "," 1367241 "
2.01," Passivo Circulante "," 576153 "," 586801 "," 395429 "
2.01.01," Obrigações Sociais e Trabalhistas "," 46062 "," 36163 "," 21288 "
2.01.01.01," Obrigações Sociais "," 46062 "," 36163 "," 21288 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 129391 "," 96054 "," 51451 "
2.01.02.01," Fornecedores Nacionais "," 129391 "," 96054 "," 51451 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 21246 "," 13182 "," 15553 "
2.01.03.01," Obrigações Fiscais Federais "," 21246 "," 13182 "," 15553 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 21246 "," 13182 "," 15553 "
2.01.03.02," Obrigações Fiscais Estaduais "," "," "," "
2.01.03.03," Obrigações Fiscais Municipais "," "," "," "
2.01.04," Empréstimos e Financiamentos "," 213562 "," 238126 "," 173826 "
2.01.04.01," Empréstimos e Financiamentos "," 213562 "," 238126 "," 173826 "
2.01.04.01.01," Em Moeda Nacional "," 213562 "," 238126 "," 173826 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 164447 "," 202060 "," 132505 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 164447 "," 202060 "," 132505 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 18191 "," 91130 "," 39523 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de clientes "," 103997 "," 70462 "," 68200 "
2.01.05.02.05," Participações a pagar "," 7680 "," 4856 "," 1205 "
2.01.05.02.06," Outras contas a pagar "," 34579 "," 35612 "," 23577 "
2.01.06," Provisões "," 1445 "," 1216 "," 806 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 1445 "," 1216 "," 806 "
2.01.06.01.01," Provisões Fiscais "," 1445 "," 1216 "," 806 "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 413406 "," 345323 "," 212930 "
2.02.01," Empréstimos e Financiamentos "," 368603 "," 298378 "," 175652 "
2.02.01.01," Empréstimos e Financiamentos "," 368603 "," 298378 "," 175652 "
2.02.01.01.01," Em Moeda Nacional "," 368603 "," 298378 "," 175652 "
2.02.01.01.02," Em Moeda Estrangeira "," "," "," "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 3095 "," 3277 "," 5194 "
2.02.02.01," Passivos com Partes Relacionadas "," 3095 "," 3277 "," 5194 "
2.02.02.01.01," Débitos com Coligadas "," 3095 "," 3277 "," 5194 "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," "," "," "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.03," Tributos Diferidos "," 41361 "," 43372 "," 31630 "
2.02.03.01," Imposto de Renda e Contribuição Social Diferidos "," 41361 "," 43372 "," 31630 "
2.02.04," Provisões "," 347 "," 296 "," 454 "
2.02.04.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 347 "," 296 "," 454 "
2.02.04.01.01," Provisões Fiscais "," 347 "," 296 "," 454 "
2.02.04.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.02.04.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.02.04.01.04," Provisões Cíveis "," "," "," "
2.02.04.02," Outras Provisões "," "," "," "
2.02.04.02.01," Provisões para Garantias "," "," "," "
2.02.04.02.02," Provisões para Reestruturação "," "," "," "
2.02.04.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.02.05," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.02.05.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.02.05.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02.06," Lucros e Receitas a Apropriar "," "," "," "
2.02.06.01," Lucros a Apropriar "," "," "," "
2.02.06.02," Receitas a Apropriar "," "," "," "
2.02.06.03," Subvenções de Investimento a Apropriar "," "," "," "
2.03," Patrimônio Líquido "," 964961 "," 814584 "," 758882 "
2.03.01," Capital Social Realizado "," 637756 "," 637756 "," 492025 "
2.03.02," Reservas de Capital "," "," "," "
2.03.02.01," Ágio na Emissão de Ações "," "," "," "
2.03.02.02," Reserva Especial de Ágio na Incorporação "," "," "," "
2.03.02.03," Alienação de Bônus de Subscrição "," "," "," "
2.03.02.04," Opções Outorgadas "," "," "," "
2.03.02.05," Ações em Tesouraria "," "," "," "
2.03.02.06," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.03.03," Reservas de Reavaliação "," "," "," "
2.03.04," Reservas de Lucros "," 233695 "," 86894 "," 219482 "
2.03.04.01," Reserva Legal "," 0 "," 0 "," 54321 "
2.03.04.02," Reserva Estatutária "," "," "," "
2.03.04.03," Reserva para Contingências "," "," "," "
2.03.04.04," Reserva de Lucros a Realizar "," "," "," "
2.03.04.05," Reserva de Retenção de Lucros "," 233695 "," 86894 "," 165161 "
2.03.04.06," Reserva Especial para Dividendos Não Distribuídos "," "," "," "
2.03.04.07," Reserva de Incentivos Fiscais "," "," "," "
2.03.04.08," Dividendo Adicional Proposto "," "," "," "
2.03.04.09," Ações em Tesouraria "," "," "," "
2.03.05," Lucros/Prejuízos Acumulados "," "," "," "
2.03.06," Ajustes de Avaliação Patrimonial "," 91837 "," 88353 "," 45777 "
2.03.07," Ajustes Acumulados de Conversão "," "," "," "
2.03.08," Outros Resultados Abrangentes "," "," "," "
2.03.09," Participação dos Acionistas Não Controladores "," 1673 "," 1581 "," 1598 "
