Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 21411985 "," 14642583 "," 11552902 "
2.01," Passivo Circulante "," 7954100 "," 5633411 "," 4765317 "
2.01.01," Obrigações Sociais e Trabalhistas "," 460373 "," 226816 "," 306882 "
2.01.01.01," Obrigações Sociais "," 75814 "," 74445 "," 81263 "
2.01.01.01.01," Encargos sociais "," 75814 "," 74445 "," 81263 "
2.01.01.02," Obrigações Trabalhistas "," 384559 "," 152371 "," 225619 "
2.01.01.02.01," Salários a pagar "," 384559 "," 152371 "," 225619 "
2.01.02," Fornecedores "," 1762233 "," 1404852 "," 1081785 "
2.01.02.01," Fornecedores Nacionais "," 1454892 "," 1221535 "," 954455 "
2.01.02.02," Fornecedores Estrangeiros "," 307341 "," 183317 "," 127330 "
2.01.03," Obrigações Fiscais "," 516678 "," 402930 "," 636723 "
2.01.03.01," Obrigações Fiscais Federais "," 224180 "," 183309 "," 412679 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 86912 "," 93983 "," 299927 "
2.01.03.01.02," Demais Obrigações Federais "," 137268 "," 89326 "," 112752 "
2.01.03.02," Obrigações Fiscais Estaduais "," 287146 "," 214857 "," 219155 "
2.01.03.03," Obrigações Fiscais Municipais "," 5352 "," 4764 "," 4889 "
2.01.04," Empréstimos e Financiamentos "," 2085974 "," 1418471 "," 894018 "
2.01.04.01," Empréstimos e Financiamentos "," 1142191 "," 895307 "," 583059 "
2.01.04.01.01," Em Moeda Nacional "," 6648 "," 655937 "," 98625 "
2.01.04.01.02," Em Moeda Estrangeira "," 1135543 "," 239370 "," 484434 "
2.01.04.02," Debêntures "," 943783 "," 523164 "," 310959 "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 3062229 "," 2113283 "," 1778274 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 3062229 "," 2113283 "," 1778274 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 346768 "," 244389 "," 237259 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Aluguéis a pagar "," "," "," "
2.01.05.02.05," Outras obrigações "," 207149 "," 145835 "," 94413 "
2.01.05.02.06," Participações Estatutárias "," 6754 "," 1880 "," 5855 "
2.01.05.02.07," Obrigações com Administradoras de Cartões "," 1835143 "," 1193168 "," 985298 "
2.01.05.02.08," Instrumentos financeiros derivativos "," 315 "," 31428 "," 7764 "
2.01.05.02.09," Arrendamentos a pagar "," 666100 "," 496583 "," 447685 "
2.01.06," Provisões "," 66613 "," 67059 "," 67635 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 66613 "," 67059 "," 67635 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," 34987 "," 36647 "," 30868 "
2.01.06.01.05," Provisões Trabalhistas "," 31626 "," 30412 "," 36767 "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 3651264 "," 3507856 "," 2096566 "
2.02.01," Empréstimos e Financiamentos "," 1381128 "," 1966508 "," 751011 "
2.02.01.01," Empréstimos e Financiamentos "," 382698 "," 1070575 "," 351011 "
2.02.01.01.01," Em Moeda Nacional "," 382698 "," 1070575 "," 311152 "
2.02.01.01.02," Em Moeda Estrangeira "," 0 "," 0 "," 39859 "
2.02.01.02," Debêntures "," 998430 "," 895933 "," 400000 "
2.02.01.03," Financiamento por Arrendamento "," "," "," "
2.02.02," Outras Obrigações "," 2180622 "," 1486111 "," 1315787 "
2.02.02.01," Passivos com Partes Relacionadas "," "," "," "
2.02.02.01.01," Débitos com Coligadas "," "," "," "
2.02.02.01.03," Débitos com Controladores "," "," "," "
2.02.02.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.02.02.02," Outros "," 2180622 "," 1486111 "," 1315787 "
2.02.02.02.01," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.02.02.02.02," Adiantamento para Futuro Aumento de Capital "," "," "," "
2.02.02.02.03," Impostos e contribuições a recolher "," "," "," "
2.02.02.02.04," Outras obrigações "," 126694 "," 24804 "," 24111 "
2.02.02.02.05," Arrendamentos a pagar "," 1994936 "," 1365804 "," 1291676 "
2.02.02.02.06," Fornecedores "," 58992 "," 95503 "," 0 "
