Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 6654524 "," 5860911 "," 5193678 "
2.01," Passivo Circulante "," 2026040 "," 1718308 "," 1512406 "
2.01.01," Obrigações Sociais e Trabalhistas "," 122656 "," 102505 "," 141051 "
2.01.01.01," Obrigações Sociais "," 122656 "," 102505 "," 141051 "
2.01.01.02," Obrigações Trabalhistas "," "," "," "
2.01.02," Fornecedores "," 459049 "," 358825 "," 377527 "
2.01.02.01," Fornecedores Nacionais "," 299007 "," 261769 "," 283929 "
2.01.02.02," Fornecedores Estrangeiros "," 160042 "," 97056 "," 93598 "
2.01.03," Obrigações Fiscais "," 128191 "," 82399 "," 75519 "
2.01.03.01," Obrigações Fiscais Federais "," 120976 "," 79976 "," 71661 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 120976 "," 79976 "," 71661 "
2.01.03.02," Obrigações Fiscais Estaduais "," 6939 "," 2107 "," 3374 "
2.01.03.03," Obrigações Fiscais Municipais "," 276 "," 316 "," 484 "
2.01.04," Empréstimos e Financiamentos "," 887578 "," 727820 "," 610498 "
2.01.04.01," Empréstimos e Financiamentos "," 887578 "," 727820 "," 610498 "
2.01.04.01.01," Em Moeda Nacional "," 277873 "," 270962 "," 273485 "
2.01.04.01.02," Em Moeda Estrangeira "," 609705 "," 456858 "," 337013 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 428566 "," 446759 "," 307811 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 428566 "," 446759 "," 307811 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," 71401 "," 92 "," 16958 "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de clientes "," 112597 "," 202149 "," 90792 "
2.01.05.02.05," Representantes comissionados "," 22575 "," 45737 "," 37884 "
2.01.05.02.06," Participação dos administradores "," 3981 "," 3608 "," 4924 "
2.01.05.02.07," Obrigações com arrendamento "," 19661 "," 18371 "," 13593 "
2.01.05.02.08," Outras contas a pagar circulante "," 198351 "," 176802 "," 143660 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
