Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 2381060 "," 2194373 "," 1460285 "
2.01," Passivo Circulante "," 814974 "," 677724 "," 501244 "
2.01.01," Obrigações Sociais e Trabalhistas "," 51167 "," 39481 "," 39650 "
2.01.01.01," Obrigações Sociais "," 12749 "," 9449 "," 9652 "
2.01.01.02," Obrigações Trabalhistas "," 38418 "," 30032 "," 29998 "
2.01.02," Fornecedores "," 464714 "," 371763 "," 303155 "
2.01.02.01," Fornecedores Nacionais "," 464714 "," 371763 "," 303155 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 30801 "," 29900 "," 25226 "
2.01.03.01," Obrigações Fiscais Federais "," 7776 "," 6924 "," 5003 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 671 "," 725 "," 756 "
2.01.03.01.02," Demais Obrigações Fiscais Federais "," 7105 "," 6199 "," 4247 "
2.01.03.02," Obrigações Fiscais Estaduais "," 22018 "," 22429 "," 19975 "
2.01.03.03," Obrigações Fiscais Municipais "," 1007 "," 547 "," 248 "
2.01.04," Empréstimos e Financiamentos "," 189137 "," 161402 "," 78251 "
2.01.04.01," Empréstimos e Financiamentos "," 0 "," 0 "," 18 "
2.01.04.01.01," Em Moeda Nacional "," 0 "," 0 "," 18 "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," 54532 "," 53400 "," 1260 "
2.01.04.03," Financiamento por Arrendamento "," 134605 "," 108002 "," 76973 "
2.01.05," Outras Obrigações "," 77431 "," 72916 "," 52618 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 77431 "," 72916 "," 52618 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 5701 "," 2305 "," 1662 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Participações a Pagar "," 12211 "," 7121 "," 11879 "
2.01.05.02.05," Outros Passivos "," 59519 "," 63490 "," 38995 "
2.01.05.02.06," Fidelidade Prêmios a Regatar "," 0 "," 0 "," 82 "
2.01.06," Provisões "," 1724 "," 2262 "," 2344 "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," 1724 "," 2262 "," 2344 "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
