Conta," Descrição "," 30/06/2021 "," 30/06/2020 "," 30/06/2019 "
2," Passivo Total "," 722286755 "," 701368666 "," 519021277 "
2.01," Passivo Circulante "," 234505442 "," 267694012 "," 197305929 "
2.01.01," Obrigações Sociais e Trabalhistas "," 27560916 "," 21945794 "," 20523886 "
2.01.01.01," Obrigações Sociais "," 3361431 "," 3526216 "," 2642618 "
2.01.01.02," Obrigações Trabalhistas "," 24199485 "," 18419578 "," 17881268 "
2.01.02," Fornecedores "," 83933054 "," 47289539 "," 54673426 "
2.01.02.01," Fornecedores Nacionais "," 43344126 "," 15997239 "," 16179343 "
2.01.02.02," Fornecedores Estrangeiros "," 40588928 "," 31292300 "," 38494083 "
2.01.03," Obrigações Fiscais "," 1458909 "," 1766056 "," 1866835 "
2.01.03.01," Obrigações Fiscais Federais "," 763266 "," 1033964 "," 1224052 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," 54489 "," 19672 "," 1493 "
2.01.03.01.02," Obrigações Fiscais Federais "," 708777 "," 1014292 "," 1222559 "
2.01.03.02," Obrigações Fiscais Estaduais "," 687529 "," 731233 "," 637956 "
2.01.03.03," Obrigações Fiscais Municipais "," 8114 "," 859 "," 4827 "
2.01.04," Empréstimos e Financiamentos "," 93736218 "," 125062027 "," 56985187 "
2.01.04.01," Empréstimos e Financiamentos "," 93478745 "," 124720188 "," 56250171 "
2.01.04.01.01," Em Moeda Nacional "," 15106776 "," 36762769 "," 23081966 "
2.01.04.01.02," Em Moeda Estrangeira "," 78371969 "," 87957419 "," 33168205 "
2.01.04.02," Debêntures "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," 257473 "," 341839 "," 735016 "
2.01.05," Outras Obrigações "," 27816345 "," 71630596 "," 63256595 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 27816345 "," 71630596 "," 63256595 "
2.01.05.02.01," Dividendos e JCP a Pagar "," 14922927 "," 58913380 "," 56694990 "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Contas e Despesas a Pagar "," 12893418 "," 12717216 "," 6561605 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 145288810 "," 130877380 "," 75901956 "
2.02.01," Empréstimos e Financiamentos "," 115654959 "," 108059806 "," 52206048 "
2.02.01.01," Empréstimos e Financiamentos "," 114621538 "," 106450306 "," 51054321 "
2.02.01.01.01," Em Moeda Nacional "," 5833333 "," 14024649 "," 11065982 "
2.02.01.01.02," Em Moeda Estrangeira "," 108788205 "," 92425657 "," 39988339 "
2.02.01.02," Debêntures "," "," "," "
2.02.01.03," Financiamento por Arrendamento "," 1033421 "," 1609500 "," 1151727 "
2.02.02," Outras Obrigações "," 7023731 "," 7729435 "," 2782187 "
