Conta," Descrição "," 31/12/2021 "," 31/12/2020 "," 31/12/2019 "
2," Passivo Total "," 4196772 "," 3235804 "," 2489899 "
2.01," Passivo Circulante "," 7092326 "," 5816019 "," 4655585 "
2.01.01," Obrigações Sociais e Trabalhistas "," 7950 "," 6675 "," 6286 "
2.01.01.01," Obrigações Sociais "," "," "," "
2.01.01.02," Obrigações Trabalhistas "," 7950 "," 6675 "," 6286 "
2.01.01.02.01," Obrigações Trabalhistas e Previdenciárias "," 7950 "," 6675 "," 6286 "
2.01.02," Fornecedores "," 40399 "," 78083 "," 17408 "
2.01.02.01," Fornecedores Nacionais "," 40399 "," 78083 "," 17408 "
2.01.02.02," Fornecedores Estrangeiros "," "," "," "
2.01.03," Obrigações Fiscais "," 7002861 "," 5714596 "," 4615673 "
2.01.03.01," Obrigações Fiscais Federais "," 301684 "," 418671 "," 444118 "
2.01.03.01.01," Imposto de Renda e Contribuição Social a Pagar "," "," "," "
2.01.03.01.02," Outros Impostos Federais "," 301684 "," 418671 "," 444118 "
2.01.03.02," Obrigações Fiscais Estaduais "," 6700977 "," 5295546 "," 4171157 "
2.01.03.03," Obrigações Fiscais Municipais "," 200 "," 379 "," 398 "
2.01.04," Empréstimos e Financiamentos "," "," "," "
2.01.04.01," Empréstimos e Financiamentos "," "," "," "
2.01.04.01.01," Em Moeda Nacional "," "," "," "
2.01.04.01.02," Em Moeda Estrangeira "," "," "," "
2.01.04.02," Debêntures "," "," "," "
2.01.04.02.01," Adiantamento de Clientes "," "," "," "
2.01.04.02.02," Outras Contas a Pagar "," "," "," "
2.01.04.03," Financiamento por Arrendamento "," "," "," "
2.01.05," Outras Obrigações "," 41116 "," 16665 "," 16218 "
2.01.05.01," Passivos com Partes Relacionadas "," "," "," "
2.01.05.01.01," Débitos com Coligadas "," "," "," "
2.01.05.01.03," Débitos com Controladores "," "," "," "
2.01.05.01.04," Débitos com Outras Partes Relacionadas "," "," "," "
2.01.05.02," Outros "," 41116 "," 16665 "," 16218 "
2.01.05.02.01," Dividendos e JCP a Pagar "," "," "," "
2.01.05.02.02," Dividendo Mínimo Obrigatório a Pagar "," "," "," "
2.01.05.02.03," Obrigações por Pagamentos Baseados em Ações "," "," "," "
2.01.05.02.04," Adiantamento de Clientes "," "," "," "
2.01.05.02.05," Outras Contas a Pagar "," 41116 "," 16665 "," 16218 "
2.01.06," Provisões "," "," "," "
2.01.06.01," Provisões Fiscais Previdenciárias Trabalhistas e Cíveis "," "," "," "
2.01.06.01.01," Provisões Fiscais "," "," "," "
2.01.06.01.02," Provisões Previdenciárias e Trabalhistas "," "," "," "
2.01.06.01.03," Provisões para Benefícios a Empregados "," "," "," "
2.01.06.01.04," Provisões Cíveis "," "," "," "
2.01.06.02," Outras Provisões "," "," "," "
2.01.06.02.01," Provisões para Garantias "," "," "," "
2.01.06.02.02," Provisões para Reestruturação "," "," "," "
2.01.06.02.03," Provisões para Passivos Ambientais e de Desativação "," "," "," "
2.01.07," Passivos sobre Ativos Não-Correntes a Venda e Descontinuados "," "," "," "
2.01.07.01," Passivos sobre Ativos Não-Correntes a Venda "," "," "," "
2.01.07.02," Passivos sobre Ativos de Operações Descontinuadas "," "," "," "
2.02," Passivo Não Circulante "," 660166 "," 613657 "," 615200 "
2.02.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01," Empréstimos e Financiamentos "," "," "," "
2.02.01.01.01," Em Moeda Nacional "," "," "," "
