Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 285653 "," 266823 "," 204253 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -515576 "," -458507 "," -417905 "
3.03," Resultado Bruto "," -229923 "," -191684 "," -213652 "
3.04," Despesas/Receitas Operacionais "," 162995 "," 119949 "," 90755 "
3.04.01," Despesas com Vendas "," -19009 "," -19965 "," -30574 "
3.04.02," Despesas Gerais e Administrativas "," -67797 "," -73965 "," -61527 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 276866 "," 226620 "," 204898 "
3.04.05," Outras Despesas Operacionais "," -20792 "," -9120 "," -21008 "
3.04.06," Resultado de Equivalência Patrimonial "," -6273 "," -3621 "," -1034 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -66928 "," -71735 "," -122897 "
3.06," Resultado Financeiro "," -59891 "," -34491 "," -114629 "
3.06.01," Receitas Financeiras "," 49467 "," 60629 "," 18904 "
3.06.02," Despesas Financeiras "," -109358 "," -95120 "," -133533 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," -126819 "," -106226 "," -237526 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "," "
3.08.01," Corrente "," "," "," "
3.08.02," Diferido "," "," "," "
3.09," Resultado Líquido das Operações Continuadas "," -126819 "," -106226 "," -237526 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," -126819 "," -106226 "," -237526 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," -1.86870 "," -1.71950 "," -3.84490 "
3.99.01.02," PN "," -1.86870 "," -1.71950 "," -3.84490 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," -1.86870 "," -1.71950 "," -3.84490 "
3.99.02.02," PN "," -1.86870 "," -1.91750 "," -3.84490 "
