Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 76863 "," 25536 "," 1753 "
3.01.01," Receita Bruta de Venda de Bens e/ou Serviços "," 76863 "," 25536 "," 1753 "
3.01.02," Deduções da Receita Bruta "," "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -53128 "," -23908 "," -8730 "
3.03," Resultado Bruto "," 23735 "," 1628 "," -6977 "
3.04," Despesas/Receitas Operacionais "," 199870 "," -21595 "," -14406 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -26106 "," -6801 "," -6407 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," 231192 "," -14794 "," -7885 "
3.04.06," Resultado de Equivalência Patrimonial "," -5216 "," 0 "," -114 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 223605 "," -19967 "," -21383 "
3.06," Resultado Financeiro "," -3792 "," -16740 "," -13942 "
3.06.01," Receitas Financeiras "," 32 "," 16 "," 25 "
3.06.02," Despesas Financeiras "," -3824 "," -16756 "," -13967 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 219813 "," -36707 "," -35325 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -29677 "," -162 "," -458 "
3.08.01," Corrente "," -84 "," 0 "," 0 "
3.08.02," Diferido "," -29593 "," -162 "," -458 "
3.09," Resultado Líquido das Operações Continuadas "," 190136 "," -36869 "," -35783 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 190136 "," -36869 "," -35783 "
3.11.01," Atribuído a Sócios da Empresa Controladora "," 190136 "," -36869 "," -35784 "
3.11.02," Atribuído a Sócios Não Controladores "," 0 "," 0 "," 1 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.02," Lucro Diluído por Ação "," "," "," "
