Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas da Intermediação Financeira "," 18532 "," 11210 "," 13095 "
3.01.01," Operações de Crédito "," 7282 "," 2695 "," 6381 "
3.01.02," Resultado de Operações com Títulos e Valores Mobiliários "," 11250 "," 8515 "," 6714 "
3.02," Despesas da Intermediação Financeira "," -6030 "," -2108 "," -2965 "
3.02.01," Operações de Captação no Mercado "," -5956 "," -2123 "," -3147 "
3.02.02," (Provisão) / Reversão para Créditos de Liquidação Duvidosa "," -74 "," 15 "," 182 "
3.03," Resultado Bruto Intermediação Financeira "," 12502 "," 9102 "," 10130 "
3.04," Outras Despesas/Receitas Operacionais "," -5914 "," -4925 "," -7547 "
3.04.01," Receitas de Prestação de Serviços "," 4679 "," 3488 "," 3179 "
3.04.02," Despesas de Pessoal "," -4917 "," -5015 "," -7139 "
3.04.03," Outras Despesas Administrativas "," -2901 "," -2832 "," -3247 "
3.04.04," Despesas Tributárias "," -971 "," -711 "," -839 "
3.04.05," Outras Receitas Operacionais "," 367 "," 660 "," 540 "
3.04.06," Outras Despesas Operacionais "," -2069 "," -515 "," -41 "
3.04.07," Resultado da Equivalência Patrimonial "," -102 "," 0 "," 0 "
3.05," Resultado Operacional "," 6588 "," 4177 "," 2583 "
3.06," Resultado Não Operacional "," 8 "," 0 "," 0 "
3.06.01," Receitas "," 8 "," 0 "," 0 "
3.06.02," Despesas "," "," "," "
3.07," Resultado Antes Tributação/Participações "," 6596 "," 4177 "," 2583 "
3.08," Provisão para IR e Contribuição Social "," -2478 "," -1555 "," -200 "
3.08.01," Provisão para Imposto de Renda "," -1538 "," -591 "," -325 "
3.08.02," Provisão para Contribuição Social "," -1205 "," -510 "," -196 "
3.08.03," Ativo Fiscal Diferido "," 265 "," -454 "," 321 "
3.09," IR Diferido "," "," "," "
3.10," Participações/Contribuições Estatutárias "," -742 "," -168 "," -156 "
3.10.01," Participações "," -742 "," -168 "," -156 "
3.10.01.01," Administradores "," -350 "," 0 "," 0 "
3.10.01.02," Empregados "," -392 "," -168 "," -156 "
3.10.02," Contribuições "," "," "," "
3.11," Reversão dos Juros sobre Capital Próprio "," "," "," "
3.13," Lucro/Prejuízo do Período "," 3376 "," 2454 "," 2227 "
3.99," Lucro por Ação - (R$ / Ação) "," 0.69970 "," 0.50860 "," 0.46150 "
