Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas da Intermediação Financeira "," 85136 "," 211105 "," 966369 "
3.01.01," Operações de Arrendamento Mercantil "," "," "," "
3.01.02," Resultado de Operações com Títulos e Valores Mobiliários "," 85136 "," 211105 "," 966369 "
3.02," Despesas da Intermediação Financeira "," -44686 "," -162569 "," -836704 "
3.02.01," Operações de Captação no Mercado "," -44686 "," -162569 "," -836704 "
3.02.02," Empréstimos e Repasses "," "," "," "
3.02.03," Operações de Arrendamento Mercantil "," "," "," "
3.02.04," Reversão/Provisão p/perdas com Crédito "," "," "," "
3.03," Resultado Bruto Intermediação Financeira "," 40450 "," 48536 "," 129665 "
3.04," Outras Despesas/Receitas Operacionais "," 126892 "," 31070 "," 167058 "
3.04.01," Receitas de Prestação de Serviços "," "," "," "
3.04.02," Despesas de Pessoal "," "," "," "
3.04.03," Outras Despesas Administrativas "," -1381 "," -3771 "," -7916 "
3.04.04," Despesas Tributárias "," -1925 "," -2303 "," -6063 "
3.04.05," Outras Receitas Operacionais "," "," "," "
3.04.06," Outras Despesas Operacionais "," -12 "," -1025 "," -2674 "
3.04.06.01," Despesas de Provisões "," -2 "," -1022 "," -1895 "
3.04.06.02," Outras "," -10 "," -3 "," -779 "
3.04.07," Resultado da Equivalência Patrimonial "," 130210 "," 38169 "," 183711 "
3.05," Resultado Operacional "," 167342 "," 79606 "," 296723 "
3.06," Resultado Não Operacional "," -1 "," 0 "," 0 "
3.06.01," Receitas "," "," "," "
3.06.02," Despesas "," "," "," "
3.07," Resultado Antes Tributação/Participações "," 167341 "," 79606 "," 296723 "
3.08," Provisão para IR e Contribuição Social "," -15618 "," -16351 "," -45008 "
3.09," IR Diferido "," "," "," "
3.10," Participações/Contribuições Estatutárias "," "," "," "
3.10.01," Participações "," "," "," "
3.10.02," Contribuições "," "," "," "
3.11," Reversão dos Juros sobre Capital Próprio "," "," "," "
3.13," Lucro/Prejuízo do Período "," 151723 "," 63255 "," 251715 "
3.99," Lucro por Ação - (R$ / Ação) "," 0.10081 "," 0.04203 "," 0.16725 "
