Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 19491061 "," 17797541 "," 0 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -12800042 "," -11179667 "," 0 "
3.02.01," Custos dos Bens e/ou Serviços Vendidos "," -8521705 "," -7549528 "," 0 "
3.02.02," Custos de Construção "," -4278337 "," -3630139 "," 0 "
3.03," Resultado Bruto "," 6691019 "," 6617874 "," 0 "
3.04," Despesas/Receitas Operacionais "," -2593440 "," -2125501 "," 0 "
3.04.01," Despesas com Vendas "," -1469609 "," -1196112 "," 0 "
3.04.01.01," Despesas com Vendas "," -825879 "," -751286 "," 0 "
3.04.01.02," Perdas Estimadas com Créditos de Liquidação Duvidosa "," -643730 "," -444826 "," 0 "
3.04.02," Despesas Gerais e Administrativas "," -1124069 "," -1051181 "," 0 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 71877 "," 70288 "," 0 "
3.04.04.01," Outras Receitas Operacionais "," 96303 "," 77533 "," 0 "
3.04.04.02," Cofins e Pasep "," -24426 "," -7245 "," 0 "
3.04.05," Outras Despesas Operacionais "," -93718 "," 37368 "," 0 "
3.04.05.01," Perda na Baixa de Bens do Imobilizado "," "," "," "
3.04.05.02," Provisão para Perdas Incentivos Fiscais "," "," "," "
3.04.05.03," Incentivos Fiscais "," "," "," "
3.04.05.04," Custo Excedente de Energia Elétrica Comercializada "," "," "," "
3.04.05.05," Provisão para Perdas com Inventário "," "," "," "
3.04.05.06," Provisão para Perdas com Municípios "," "," "," "
3.04.05.20," Outras "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," 22079 "," 14136 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 4097579 "," 4492373 "," 0 "
3.06," Resultado Financeiro "," -927423 "," -3166371 "," 0 "
3.06.01," Receitas Financeiras "," 472372 "," 338625 "," 0 "
3.06.01.01," Receitas Financeiras "," 495446 "," 359059 "," 0 "
3.06.01.02," Variações Cambiais Ativas "," -36 "," 1894 "," 0 "
3.06.01.03," Cofins e Pasep "," -23038 "," -22328 "," 0 "
3.06.02," Despesas Financeiras "," -1399795 "," -3504996 "," 0 "
3.06.02.01," Despesas Financeiras "," -1448295 "," -1324759 "," 0 "
3.06.02.02," Variações Cambiais Passivas "," 48500 "," -2180237 "," 0 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 3170156 "," 1326002 "," 0 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -864287 "," -352684 "," 0 "
3.08.01," Corrente "," -961556 "," -460721 "," 0 "
3.08.02," Diferido "," 97269 "," 108037 "," 0 "
3.09," Resultado Líquido das Operações Continuadas "," 2305869 "," 973318 "," 0 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 2305869 "," 973318 "," 0 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 3.37358 "," 1.42400 "," 0.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 3.37358 "," 1.42400 "," 0.00000 "
