Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 "
3.01," Receita de Venda de Bens e/ou Serviços "," "," "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "
3.03," Resultado Bruto "," "," "
3.04," Despesas/Receitas Operacionais "," 1938260 "," 378504 "
3.04.01," Despesas com Vendas "," "," "
3.04.02," Despesas Gerais e Administrativas "," -8886 "," -9906 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "
3.04.04," Outras Receitas Operacionais "," 74097 "," 0 "
3.04.04.01," Ganho na variação do percentual de participação societária "," 74097 "," 0 "
3.04.04.02," Resultado na distribuição de ativos financeiros "," "," "
3.04.05," Outras Despesas Operacionais "," -1427 "," -1260 "
3.04.05.01," Indenizações pagas "," "," "
3.04.05.02," Baixa do ágio "," "," "
3.04.05.03," Perda na variação de percentual de participação societária "," 0 "," -507 "
3.04.05.04," Despesa de captação pela emissão de debêntures "," -1427 "," -753 "
3.04.06," Resultado de Equivalência Patrimonial "," 1874476 "," 389670 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1938260 "," 378504 "
3.06," Resultado Financeiro "," 3143 "," -9108 "
3.06.01," Receitas Financeiras "," 4702 "," 4390 "
3.06.02," Despesas Financeiras "," -1559 "," -13498 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1941403 "," 369396 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," "," "
3.08.01," Corrente "," "," "
3.08.02," Diferido "," "," "
3.09," Resultado Líquido das Operações Continuadas "," 1941403 "," 369396 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "
3.11," Lucro/Prejuízo do Período "," 1941403 "," 369396 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "
3.99.01," Lucro Básico por Ação "," "," "
3.99.01.01," ON "," 9.00902 "," 1.71417 "
3.99.01.02," PN "," "," "
3.99.02," Lucro Diluído por Ação "," "," "
3.99.02.01," ON "," 9.00902 "," 1.71417 "
3.99.02.02," PN "," "," "
