Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 8224138 "," 2408621 "," 8047581 "
3.01.01," Dividendos "," 5584070 "," 672779 "," 649732 "
3.01.02," Juros sobre capital próprio "," 1214078 "," 1280954 "," 694193 "
3.01.03," Resultado com alienações de coligadas, bônus e direitos de subscrição "," 1571131 "," 3239 "," 6555062 "
3.01.04," Comissões e taxas "," "," "," "
3.01.05," Resultado com instrumentos financeiros derivativos "," -298066 "," 363821 "," 103158 "
3.01.06," Resultado com fundos de investimento em participações societárias "," 152925 "," 87828 "," 45436 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," "," "," "
3.03," Resultado Bruto "," 8224138 "," 2408621 "," 8047581 "
3.04," Despesas/Receitas Operacionais "," 2899355 "," -1435960 "," 1099967 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -1238628 "," -1484338 "," -969373 "
3.04.02.01," Provisão para contingências trabalhistas "," -142889 "," -123773 "," -83230 "
3.04.02.02," Remuneração da diretoria e conselheiros "," -4514 "," -2668 "," -1259 "
3.04.02.03," Despesas com pessoal "," -534554 "," -617376 "," -453582 "
3.04.02.04," Participação dos empregados e administradores no resultado "," -65928 "," -77287 "," -41745 "
3.04.02.05," Despesas com tributos "," -304836 "," -236126 "," -212438 "
3.04.02.06," Atualização monetária líquida de ativos e passivos "," -83441 "," -144494 "," -60710 "
3.04.02.07," Despesas Administrativas "," -71151 "," -66937 "," -69749 "
3.04.02.20," Diversas "," -31315 "," -215677 "," -46660 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 48217 "," 13094 "," 650348 "
3.04.04.01," Outras receitas (despesas) com participações societárias "," 48217 "," 13094 "," 650348 "
3.04.05," Outras Despesas Operacionais "," -214295 "," 18720 "," -330993 "
3.04.05.01," Outras despesas com participações societárias "," "," "," "
3.04.05.02," Reversão (constituição) de provisão para perdas em investimentos "," -214295 "," 18720 "," -330993 "
3.04.06," Resultado de Equivalência Patrimonial "," 4304061 "," 16564 "," 1749985 "
3.04.06.01," Receita de equivalência patrimonial "," 5625123 "," 2549900 "," 2308461 "
3.04.06.02," Despesa de equivalência patrimonial "," -1321062 "," -2533336 "," -558476 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 11123493 "," 972661 "," 9147548 "
3.06," Resultado Financeiro "," 2483478 "," 1285388 "," 663693 "
3.06.01," Receitas Financeiras "," 2367405 "," 1608760 "," 1107192 "
3.06.01.01," Receitas de operações de crédito "," 114183 "," 185015 "," 86678 "
3.06.01.02," Títulos e valores mobiliários "," 1760025 "," 1423007 "," 1020514 "
3.06.01.03," Resultado com alienações de títulos de renda fixa "," 493197 "," 738 "," 0 "
3.06.01.04," Comissões e prêmios "," "," "," "
3.06.01.05," Resultado com fundo mútuo de investimentos "," "," "," "
3.06.02," Despesas Financeiras "," 116073 "," -323372 "," -443499 "
3.06.02.01," Encargos financeiros referentes a emissão de debêntures "," 0 "," 0 "," -84948 "
3.06.02.02," Encargos financeiros referentes a obrigações perante o BNDES "," "," "," "
3.06.02.03," Encargos financeiros referentes a obrigações perante o BNDES - recursos PIS/PASEP "," "," "," "
3.06.02.04," Encargos financeiros referentes a obrigações com a Sec. Tes. Nacional "," "," "," "
3.06.02.05," Reversão (constituição) de provisão para redução no valor recuperável "," 116073 "," -310065 "," -359866 "
3.06.02.06," Encargos financeiros referentes a outras obrigações "," "," "," "
3.06.02.07," Resultado da carteira de câmbio "," 0 "," -13307 "," 1315 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 13606971 "," 2258049 "," 9811241 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -1425840 "," -563684 "," -2475304 "
3.08.01," Corrente "," -1861921 "," -971263 "," -2640506 "
3.08.02," Diferido "," 436081 "," 407579 "," 165202 "
3.09," Resultado Líquido das Operações Continuadas "," 12181131 "," 1694365 "," 7335937 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 12181131 "," 1694365 "," 7335937 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 12181.13100 "," 1694.36500 "," 7335937000.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 12181.13100 "," 1694.36500 "," 7335937000.00000 "
