Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 1217771 "," 1143679 "," 1124024 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -613491 "," -562124 "," -504931 "
3.03," Resultado Bruto "," 604280 "," 581555 "," 619093 "
3.04," Despesas/Receitas Operacionais "," -325685 "," -304327 "," -347824 "
3.04.01," Despesas com Vendas "," -73802 "," -89791 "," -88071 "
3.04.02," Despesas Gerais e Administrativas "," -259173 "," -227589 "," -253483 "
3.04.02.01," Gerais e Administrativas "," -259173 "," -227589 "," -253483 "
3.04.02.02," Participações Estatutárias "," "," "," "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 13151 "," 14209 "," 27837 "
3.04.05," Outras Despesas Operacionais "," -5861 "," -1156 "," -34107 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 278595 "," 277228 "," 271269 "
3.06," Resultado Financeiro "," -74516 "," -107021 "," -90758 "
3.06.01," Receitas Financeiras "," 17439 "," 9629 "," 19139 "
3.06.02," Despesas Financeiras "," -91955 "," -116650 "," -109897 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 204079 "," 170207 "," 180511 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -69129 "," -57703 "," -60825 "
3.08.01," Corrente "," -68672 "," -68047 "," -47082 "
3.08.02," Diferido "," -457 "," 10344 "," -13743 "
3.09," Resultado Líquido das Operações Continuadas "," 134950 "," 112504 "," 119686 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 134950 "," 112504 "," 119686 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.14709 "," 0.14266 "," 0.15940 "
3.99.01.02," PN "," 0.16136 "," 0.15682 "," 0.17534 "
3.99.02," Lucro Diluído por Ação "," "," "," "
