Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receitas de Intermediação Financeira "," 9952 "," 8977 "," 15609 "
3.01.01," Resultado com juros e similares "," 9894 "," 8308 "," 14271 "
3.01.02," Ganho no valor recuperável de ativos financeiros "," 58 "," 669 "," 1338 "
3.02," Despesas de Intermediação Financeira "," "," "," "
3.03," Resultado Bruto de Intermediação Financeira "," "," "," "
3.04," Outras Despesas e Receitas Operacionais "," "," "," "
3.04.01," Despesa de Provisão para Perda Esperada para Risco de Crédito "," "," "," "
3.04.02," Receitas de Prestação de Serviços "," "," "," "
3.04.03," Despesas com Pessoal "," "," "," "
3.04.04," Outras Despesas de Administrativas "," -257 "," -321 "," 222 "
3.04.04.01," (Provisões)/Reversões líquidas "," 121 "," -2 "," 1539 "
3.04.04.02," Outras despesas administrativas "," -378 "," -319 "," -1317 "
3.04.05," Despesas Tributárias "," -1424 "," -870 "," -1377 "
3.04.06," Outras Receitas Operacionais "," 10312 "," 4997 "," 6861 "
3.04.07," Outras Despesas Operacionais "," "," "," "
3.04.08," Resultado da Equivalência Patrimonial "," "," "," "
3.05," Resultado antes dos Tributos sobre o Lucro "," 18583 "," 12783 "," 21315 "
3.06," Imposto de Renda e Contribuição Social sobre o Lucro "," -6296 "," -4322 "," -7223 "
3.06.01," Corrente "," -4381 "," -2846 "," -4363 "
3.06.02," Diferido "," -1915 "," -1476 "," -2860 "
3.07," Lucro ou Prejuízo das Operações Continuadas "," "," "," "
3.08," Resultado Líquido das Operações Descontinuadas "," "," "," "
3.09," Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias "," "," "," "
3.10," Participações nos Lucros e Contribuições Estatutárias "," "," "," "
3.11," Lucro ou Prejuízo Líquido Consolidado do Período "," 12287 "," 8461 "," 14092 "
3.11.01," Atribuído aos Sócios da Empresa Controladora "," "," "," "
3.11.02," Atribuído aos Sócios não Controladores "," "," "," "
3.99," Lucro por Ação (R$/Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 51408.00000 "," 35400.00000 "," 58961.00000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 51408.00000 "," 35400.00000 "," 58961.00000 "
