Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 4427385 "," 3604965 "," 3200809 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -2911307 "," -2517730 "," -2377782 "
3.03," Resultado Bruto "," 1516078 "," 1087235 "," 823027 "
3.04," Despesas/Receitas Operacionais "," -106929 "," -124255 "," 219617 "
3.04.01," Despesas com Vendas "," -16061 "," -13440 "," -14036 "
3.04.02," Despesas Gerais e Administrativas "," -298306 "," -247197 "," -222454 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," 500326 "," 389820 "," 832281 "
3.04.05," Outras Despesas Operacionais "," -292888 "," -253438 "," -376174 "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 1409149 "," 962980 "," 1042644 "
3.06," Resultado Financeiro "," -363248 "," -316414 "," -284911 "
3.06.01," Receitas Financeiras "," 389420 "," 498924 "," 312489 "
3.06.02," Despesas Financeiras "," -752668 "," -815338 "," -597400 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 1045901 "," 646566 "," 757733 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -346317 "," -216284 "," -254378 "
3.08.01," Corrente "," -357400 "," -340349 "," -391521 "
3.08.02," Diferido "," 11083 "," 124065 "," 137143 "
3.09," Resultado Líquido das Operações Continuadas "," 699584 "," 430282 "," 503355 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 699584 "," 430282 "," 503355 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 1.97000 "," 1.21000 "," 1.42000 "
3.99.01.02," PNA "," 2.16700 "," 1.33000 "," 1.56000 "
3.99.01.03," PNB "," 2.16700 "," 1.33000 "," 1.56000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 2.16700 "," 1.33000 "," 1.45000 "
3.99.02.02," PN "," 2.16700 "," 1.33000 "," 1.59000 "
