Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 12424 "," 12395 "," 21053 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," -1529 "," -1093 "," -2842 "
3.03," Resultado Bruto "," 10895 "," 11302 "," 18211 "
3.04," Despesas/Receitas Operacionais "," -13223 "," -4624 "," -4142 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -3374 "," -1738 "," -2327 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," -9848 "," -2886 "," -1815 "
3.04.05.01," Despesas tributárias "," -17 "," -78 "," -16 "
3.04.05.02," Despesas de comercialização "," -473 "," -95 "," -640 "
3.04.05.03," Outras (despesas) receitas operacionais liquidas "," -209 "," -13 "," 952 "
3.04.05.04," Despesas com pessoal "," -9149 "," -2700 "," -2111 "
3.04.06," Resultado de Equivalência Patrimonial "," -1 "," 0 "," 0 "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," -2328 "," 6678 "," 14069 "
3.06," Resultado Financeiro "," 5394 "," 3283 "," 5630 "
3.06.01," Receitas Financeiras "," 5530 "," 3526 "," 6206 "
3.06.02," Despesas Financeiras "," -136 "," -243 "," -576 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 3066 "," 9961 "," 19699 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -2020 "," -3206 "," -6303 "
3.08.01," Corrente "," -2028 "," -3206 "," -6050 "
3.08.02," Diferido "," 8 "," 0 "," -253 "
3.09," Resultado Líquido das Operações Continuadas "," 1046 "," 6755 "," 13396 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 1046 "," 6755 "," 13396 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.13200 "," 0.85200 "," 1.93900 "
3.99.02," Lucro Diluído por Ação "," "," "," "
3.99.02.01," ON "," 0.13200 "," 0.85200 "," 1.93900 "
