Conta," Descrição ","01/01/2021 a 31/12/2021 ","01/01/2020 a 31/12/2020 ","01/01/2019 a 31/12/2019 "
3.01," Receita de Venda de Bens e/ou Serviços "," 206601 "," 221342 "," 217532 "
3.02," Custo dos Bens e/ou Serviços Vendidos "," 21603 "," -29507 "," -84340 "
3.03," Resultado Bruto "," 228204 "," 191835 "," 133192 "
3.04," Despesas/Receitas Operacionais "," -32140 "," -41885 "," -50183 "
3.04.01," Despesas com Vendas "," "," "," "
3.04.02," Despesas Gerais e Administrativas "," -32140 "," -41885 "," -50183 "
3.04.03," Perdas pela Não Recuperabilidade de Ativos "," "," "," "
3.04.04," Outras Receitas Operacionais "," "," "," "
3.04.05," Outras Despesas Operacionais "," "," "," "
3.04.06," Resultado de Equivalência Patrimonial "," "," "," "
3.05," Resultado Antes do Resultado Financeiro e dos Tributos "," 196064 "," 149950 "," 83009 "
3.06," Resultado Financeiro "," -12945 "," -16836 "," -14037 "
3.06.01," Receitas Financeiras "," 3193 "," 4978 "," 9899 "
3.06.01.01," Receitas Financeiras "," 3187 "," 3642 "," 9899 "
3.06.01.02," Outros resultados financeiros, líquidos "," 6 "," 1336 "," 0 "
3.06.02," Despesas Financeiras "," -16138 "," -21814 "," -23936 "
3.06.02.01," Despesas Financeiras "," -16138 "," -21814 "," -23135 "
3.06.02.02," Outros resultados financeiros, líquidos "," 0 "," 0 "," -801 "
3.07," Resultado Antes dos Tributos sobre o Lucro "," 183119 "," 133114 "," 68972 "
3.08," Imposto de Renda e Contribuição Social sobre o Lucro "," -43538 "," -53637 "," -17266 "
3.08.01," Corrente "," -14242 "," -42671 "," -16594 "
3.08.02," Diferido "," -29296 "," -10966 "," -672 "
3.09," Resultado Líquido das Operações Continuadas "," 139581 "," 79477 "," 51706 "
3.10," Resultado Líquido de Operações Descontinuadas "," "," "," "
3.10.01," Lucro/Prejuízo Líquido das Operações Descontinuadas "," "," "," "
3.10.02," Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas "," "," "," "
3.11," Lucro/Prejuízo do Período "," 139581 "," 79477 "," 51706 "
3.99," Lucro por Ação - (Reais / Ação) "," "," "," "
3.99.01," Lucro Básico por Ação "," "," "," "
3.99.01.01," ON "," 0.68920 "," 0.39000 "," 0.26000 "
3.99.02," Lucro Diluído por Ação "," "," "," "
